crash_id,vehicle_type
20202034,heavy_rigid_truck
20205019,heavy_rigid_truck
20203229,heavy_rigid_truck
20203045,heavy_rigid_truck
20201019,heavy_rigid_truck
20203088,heavy_rigid_truck
20201194,heavy_rigid_truck
20201068,heavy_rigid_truck
20202002,heavy_rigid_truck
20202057,heavy_rigid_truck
20201099,heavy_rigid_truck
20201256,heavy_rigid_truck
20205070,heavy_rigid_truck
20202181,heavy_rigid_truck
20203082,heavy_rigid_truck
20201228,heavy_rigid_truck
20202137,heavy_rigid_truck
20203019,heavy_rigid_truck
20205021,heavy_rigid_truck
20201069,heavy_rigid_truck
20202136,heavy_rigid_truck
20201015,heavy_rigid_truck
20201103,heavy_rigid_truck
20201203,heavy_rigid_truck
20201190,heavy_rigid_truck
20201199,heavy_rigid_truck
20202115,heavy_rigid_truck
20201134,heavy_rigid_truck
20203149,heavy_rigid_truck
20192176,heavy_rigid_truck
20194076,heavy_rigid_truck
20192247,heavy_rigid_truck
20193029,heavy_rigid_truck
20191313,heavy_rigid_truck
20193129,heavy_rigid_truck
20192206,heavy_rigid_truck
20191230,heavy_rigid_truck
20192137,heavy_rigid_truck
20194025,heavy_rigid_truck
20192165,heavy_rigid_truck
20195027,heavy_rigid_truck
20191193,heavy_rigid_truck
20191273,heavy_rigid_truck
20193146,heavy_rigid_truck
20192213,heavy_rigid_truck
20191175,heavy_rigid_truck
20193161,heavy_rigid_truck
20191285,heavy_rigid_truck
20192158,heavy_rigid_truck
20193008,heavy_rigid_truck
20194018,heavy_rigid_truck
20194083,heavy_rigid_truck
20193022,heavy_rigid_truck
20191070,heavy_rigid_truck
20191165,heavy_rigid_truck
20192034,heavy_rigid_truck
20193070,heavy_rigid_truck
20195020,heavy_rigid_truck
20195001,heavy_rigid_truck
20197025,heavy_rigid_truck
20192184,heavy_rigid_truck
20192188,heavy_rigid_truck
20191178,heavy_rigid_truck
20191297,heavy_rigid_truck
20193101,heavy_rigid_truck
20193125,heavy_rigid_truck
20192075,heavy_rigid_truck
20191011,heavy_rigid_truck
20193061,heavy_rigid_truck
20192035,heavy_rigid_truck
20191253,heavy_rigid_truck
20191217,heavy_rigid_truck
20192191,heavy_rigid_truck
20195055,heavy_rigid_truck
20191056,heavy_rigid_truck
20191140,heavy_rigid_truck
20191134,heavy_rigid_truck
20195128,heavy_rigid_truck
20191227,heavy_rigid_truck
20192067,heavy_rigid_truck
20193122,heavy_rigid_truck
20192036,heavy_rigid_truck
20191247,heavy_rigid_truck
20191080,heavy_rigid_truck
20192194,heavy_rigid_truck
20191221,heavy_rigid_truck
20193184,heavy_rigid_truck
20192110,heavy_rigid_truck
20193175,heavy_rigid_truck
20193035,heavy_rigid_truck
20191224,heavy_rigid_truck
20191245,heavy_rigid_truck
20191104,heavy_rigid_truck
20193193,heavy_rigid_truck
20192093,heavy_rigid_truck
20192159,heavy_rigid_truck
20191123,heavy_rigid_truck
20191192,heavy_rigid_truck
20192058,heavy_rigid_truck
20196022,heavy_rigid_truck
20191046,heavy_rigid_truck
20194109,heavy_rigid_truck
20192145,heavy_rigid_truck
20191288,heavy_rigid_truck
20191323,heavy_rigid_truck
20191036,heavy_rigid_truck
20191040,heavy_rigid_truck
20195071,heavy_rigid_truck
20192081,heavy_rigid_truck
20185097,heavy_rigid_truck
20181269,heavy_rigid_truck
20183171,heavy_rigid_truck
20184044,heavy_rigid_truck
20182029,heavy_rigid_truck
20181042,heavy_rigid_truck
20181244,heavy_rigid_truck
20182192,heavy_rigid_truck
20183007,heavy_rigid_truck
20181010,heavy_rigid_truck
20181225,heavy_rigid_truck
20181082,heavy_rigid_truck
20185062,heavy_rigid_truck
20183044,heavy_rigid_truck
20182068,heavy_rigid_truck
20182142,heavy_rigid_truck
20181035,heavy_rigid_truck
20186023,heavy_rigid_truck
20181008,heavy_rigid_truck
20181158,heavy_rigid_truck
20181125,heavy_rigid_truck
20181095,heavy_rigid_truck
20183063,heavy_rigid_truck
20181029,heavy_rigid_truck
20183206,heavy_rigid_truck
20184034,heavy_rigid_truck
20185115,heavy_rigid_truck
20188003,heavy_rigid_truck
20181147,heavy_rigid_truck
20183083,heavy_rigid_truck
20182117,heavy_rigid_truck
20183013,heavy_rigid_truck
20185125,heavy_rigid_truck
20181080,heavy_rigid_truck
20183138,heavy_rigid_truck
20183073,heavy_rigid_truck
20181134,heavy_rigid_truck
20181245,heavy_rigid_truck
20182128,heavy_rigid_truck
20182144,heavy_rigid_truck
20182108,heavy_rigid_truck
20184032,heavy_rigid_truck
