crashID,age,gender,roadUser,ageGroup,personID
20191080,67,Male,Driver,65_to_74,P5921
20196026,81,Female,Pedestrian,75_or_older,P5922
20191138,56,Male,Driver,40_to_64,P5923
20192098,38,Male,Driver,26_to_39,P5924
20191234,21,Male,Driver,17_to_25,P5925
20194019,37,Male,Motorcycle rider,26_to_39,P5926
20197006,36,Male,Pedestrian,26_to_39,P5927
20195044,23,Male,Driver,17_to_25,P5928
20193131,69,Female,Passenger,65_to_74,P5929
20193157,20,Male,Driver,17_to_25,P5930
20193131,77,Male,Driver,75_or_older,P5931
20192194,56,Male,Pedestrian,40_to_64,P5932
20191221,56,Male,Driver,40_to_64,P5933
20191239,53,Male,Motorcycle rider,40_to_64,P5934
20195093,26,Male,Passenger,26_to_39,P5935
20191062,21,Male,Motorcycle rider,17_to_25,P5936
20192225,26,Male,Motorcycle rider,26_to_39,P5937
20192069,24,Female,Pedestrian,17_to_25,P5938
20192222,15,Female,Driver,0_to_16,P5939
20195054,39,Male,Driver,26_to_39,P5940
20191147,43,Male,Pedestrian,40_to_64,P5941
20191059,47,Male,Pedestrian,40_to_64,P5942
20193055,70,Female,Driver,65_to_74,P5943
20193038,27,Male,Motorcycle rider,26_to_39,P5944
20191185,57,Male,Motorcycle rider,40_to_64,P5945
20191185,59,Male,Motorcycle rider,40_to_64,P5946
20191157,71,Male,Pedestrian,65_to_74,P5947
20194033,81,Male,Driver,75_or_older,P5948
20192055,63,Male,Motorcycle rider,40_to_64,P5949
20193184,48,Female,Driver,40_to_64,P5950
20193184,47,Male,Driver,40_to_64,P5951
20191033,84,Female,Driver,75_or_older,P5952
20195008,56,Male,Driver,40_to_64,P5953
20191094,50,Male,Motorcycle rider,40_to_64,P5954
20192192,53,Male,Driver,40_to_64,P5955
20192110,55,Male,Driver,40_to_64,P5956
20196012,72,Male,Driver,65_to_74,P5957
20192153,86,Male,Pedestrian,75_or_older,P5958
20193175,49,Female,Pedestrian,40_to_64,P5959
20192167,31,Male,Driver,26_to_39,P5960
20193068,4,Female,Passenger,0_to_16,P5961
20193068,6,Male,Passenger,0_to_16,P5962
20197002,35,Male,Driver,26_to_39,P5963
20192061,65,Male,Driver,65_to_74,P5964
20193050,18,Male,Passenger,17_to_25,P5965
20193050,19,Male,Driver,17_to_25,P5966
20193050,19,Male,Passenger,17_to_25,P5967
20193050,18,Male,Passenger,17_to_25,P5968
20193133,37,Female,Driver,26_to_39,P5969
20193133,47,Male,Driver,40_to_64,P5970
20191010,44,Male,Motorcycle rider,40_to_64,P5971
20193149,38,Female,Driver,26_to_39,P5972
20194028,70,Male,Motorcycle rider,65_to_74,P5973
20191018,25,Male,Driver,17_to_25,P5974
20196028,75,Female,Passenger,75_or_older,P5975
20191180,47,Male,Driver,40_to_64,P5976
20191166,43,Male,Driver,40_to_64,P5977
20192242,36,Male,Passenger,26_to_39,P5978
20192242,31,Male,Passenger,26_to_39,P5979
20191286,86,Male,Driver,75_or_older,P5980
20191275,67,Male,Driver,65_to_74,P5981
20193011,79,Male,Passenger,75_or_older,P5982
20191231,12,Male,Passenger,0_to_16,P5983
20194040,30,Male,Motorcycle rider,26_to_39,P5984
20195083,29,Male,Motorcycle rider,26_to_39,P5985
20191238,30,Male,Motorcycle rider,26_to_39,P5986
20195076,71,Male,Passenger,65_to_74,P5987
20191211,61,Male,Pedestrian,40_to_64,P5988
20192187,53,Male,Driver,40_to_64,P5989
