crashID,vehicleID
20241175,V199
20243072,V200
20244057,V201
20241091,V202
20243201,V203
20242135,V204
20243225,V205
20241167,V206
20244060,V207
20241268,V208
20244013,V209
20243235,V210
20243235,V211
20244059,V212
20244059,V213
20241266,V214
20243131,V215
20242080,V216
20241287,V217
20241152,V218
20243161,V219
20242042,V220
20243210,V221
20244025,V222
20243088,V223
20241211,V224
20241211,V225
20242007,V226
20241204,V227
20244062,V228
20241137,V229
20243117,V230
20242081,V231
20243206,V232
20248003,V233
20244032,V234
20241153,V235
20242138,V236
20243198,V237
20242107,V238
20243080,V239
20242204,V240
20242139,V241
20241103,V242
20242129,V243
20244027,V244
20243006,V245
20243108,V246
20243212,V247
20241237,V248
20241052,V249
20241308,V250
20246027,V251
20244072,V252
20241195,V253
20244043,V254
20241102,V255
20243194,V256
20243070,V257
20243165,V258
20241063,V259
20241132,V260
20241292,V261
20241189,V262
20241233,V263
20241233,V264
20241233,V265
20241233,V266
20242115,V267
20242167,V268
20241016,V269
20243234,V270
20246025,V271
20241220,V272
20241034,V273
20242012,V274
20243009,V275
20243009,V276
20241269,V277
20242093,V278
20242176,V279
20242255,V280
20241066,V281
20242175,V282
20243207,V283
20242029,V284
20241246,V285
20241078,V286
20243064,V287
20241013,V288
20241013,V289
20246019,V290
20242257,V291
20241138,V292
20244014,V293
20244069,V294
20242053,V295
20243111,V296
20243067,V297
20242186,V298
20242250,V299
20243167,V300
20243106,V301
20242098,V302
20241179,V303
20242070,V304
20243261,V305
20243227,V306
20242243,V307
20242102,V308
20241109,V309
20243187,V310
20241301,V311
20243135,V312
20241248,V313
20243268,V314
20242071,V315
20241020,V316
20241294,V317
20241304,V318
20242123,V319
20242144,V320
20241199,V321
20241199,V322
20243066,V323
20243233,V324
20243203,V325
20242209,V326
20242056,V327
20242130,V328
20243109,V329
20243109,V330
20243010,V331
20243181,V332
20246018,V333
20241071,V334
20241186,V335
20243078,V336
20241223,V337
20241221,V338
20241143,V339
20243242,V340
20242189,V341
20242170,V342
20243043,V343
20241140,V344
20244063,V345
20241131,V346
20242172,V347
20241111,V348
20242055,V349
20241017,V350
20244067,V351
20246024,V352
20241254,V353
20241254,V354
20243011,V355
20246011,V356
20242177,V357
20241127,V358
20241210,V359
20242132,V360
20242132,V361
20242184,V362
20241253,V363
20243024,V364
20242224,V365
20243031,V366
20242069,V367
20243156,V368
20242251,V369
20244034,V370
20242090,V371
20243231,V372
20243231,V373
20243231,V374
20242194,V375
20243142,V376
20242043,V377
20243124,V378
20244007,V379
20242060,V380
20243104,V381
20244041,V382
20246026,V383
20243021,V384
20242155,V385
20242032,V386
20241285,V387
20244066,V388
20242064,V389
20242164,V390
20244035,V391
20243018,V392
20242086,V393
20243217,V394
20243251,V395
20243058,V396
20244046,V397
20243085,V398
20244039,V399
20243240,V400
20246002,V401
20246002,V402
20242099,V403
20242099,V404
20243063,V405
20241176,V406
20247022,V407
20241086,V408
20241224,V409
20241265,V410
20241202,V411
20246023,V412
20241293,V413
20241299,V414
20244078,V415
20243164,V416
20242201,V417
20241307,V418
20242074,V419
20242074,V420
20241243,V421
20241243,V422
20247034,V423
20241260,V424
20243004,V425
