crash_id,year,month,day_of_week,christmas_period,easter_period,weekday_or_weekend,date_id
20243171,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20242075,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20243079,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20241045,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20243017,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20241160,2024,11,Wednesday,No,No,Weekday,2024-11-Wednesday
20241081,2024,11,Wednesday,No,No,Weekday,2024-11-Wednesday
20241135,2024,11,Wednesday,No,No,Weekday,2024-11-Wednesday
20241209,2024,11,Wednesday,No,No,Weekday,2024-11-Wednesday
20242140,2024,10,Friday,No,No,Weekday,2024-10-Friday
20242142,2024,10,Friday,No,No,Weekday,2024-10-Friday
20243107,2024,10,Friday,No,No,Weekday,2024-10-Friday
20243020,2024,10,Friday,No,No,Weekday,2024-10-Friday
20241151,2024,10,Friday,No,No,Weekday,2024-10-Friday
20243158,2024,10,Friday,No,No,Weekday,2024-10-Friday
20241286,2024,10,Friday,No,No,Weekday,2024-10-Friday
20243102,2024,10,Friday,No,No,Weekday,2024-10-Friday
20241303,2024,10,Friday,No,No,Weekday,2024-10-Friday
20246029,2024,10,Friday,No,No,Weekday,2024-10-Friday
20248005,2024,10,Friday,No,No,Weekday,2024-10-Friday
20244018,2024,10,Friday,No,No,Weekend,2024-10-Friday
20241060,2024,10,Friday,No,No,Weekend,2024-10-Friday
20242022,2024,10,Friday,No,No,Weekend,2024-10-Friday
20241037,2024,10,Friday,No,No,Weekend,2024-10-Friday
20241257,2024,10,Friday,No,No,Weekend,2024-10-Friday
20241128,2024,10,Monday,No,No,Weekend,2024-10-Monday
20243089,2024,10,Monday,No,No,Weekend,2024-10-Monday
20242181,2024,10,Monday,No,No,Weekday,2024-10-Monday
20243082,2024,10,Monday,No,No,Weekday,2024-10-Monday
20243150,2024,10,Monday,No,No,Weekday,2024-10-Monday
20243170,2024,10,Monday,No,No,Weekday,2024-10-Monday
20243239,2024,10,Monday,No,No,Weekday,2024-10-Monday
20242040,2024,10,Saturday,No,No,Weekend,2024-10-Saturday
20243084,2024,10,Saturday,No,No,Weekend,2024-10-Saturday
20241030,2024,10,Saturday,No,No,Weekend,2024-10-Saturday
20243127,2024,10,Saturday,No,No,Weekend,2024-10-Saturday
20243003,2024,10,Saturday,No,No,Weekend,2024-10-Saturday
20243266,2024,10,Saturday,No,No,Weekend,2024-10-Saturday
20241042,2024,10,Saturday,No,No,Weekend,2024-10-Saturday
20243121,2024,10,Saturday,No,No,Weekend,2024-10-Saturday
20241175,2024,10,Saturday,No,No,Weekend,2024-10-Saturday
20243072,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20244057,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20241091,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20243201,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20242135,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20243225,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20241167,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20244060,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20241268,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20244013,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20243235,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20244059,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20241266,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20243131,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20242080,2024,10,Sunday,No,No,Weekend,2024-10-Sunday
20241287,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20241152,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20243161,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20242042,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20243210,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20244025,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20243088,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20241211,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20242007,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20241204,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20244062,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20241137,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20243117,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20242081,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20243206,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20248003,2024,10,Thursday,No,No,Weekday,2024-10-Thursday
20244032,2024,10,Tuesday,No,No,Weekday,2024-10-Tuesday
20241153,2024,10,Tuesday,No,No,Weekday,2024-10-Tuesday
20242138,2024,10,Tuesday,No,No,Weekday,2024-10-Tuesday
20243198,2024,10,Tuesday,No,No,Weekday,2024-10-Tuesday
20242107,2024,10,Tuesday,No,No,Weekday,2024-10-Tuesday
20243080,2024,10,Tuesday,No,No,Weekday,2024-10-Tuesday
20242204,2024,10,Tuesday,No,No,Weekday,2024-10-Tuesday
20242139,2024,10,Tuesday,No,No,Weekday,2024-10-Tuesday
20241103,2024,10,Wednesday,No,No,Weekday,2024-10-Wednesday
20242129,2024,10,Wednesday,No,No,Weekday,2024-10-Wednesday
20244027,2024,10,Wednesday,No,No,Weekday,2024-10-Wednesday
20243006,2024,10,Wednesday,No,No,Weekday,2024-10-Wednesday
20243108,2024,10,Wednesday,No,No,Weekday,2024-10-Wednesday
20243212,2024,10,Wednesday,No,No,Weekday,2024-10-Wednesday
20241237,2024,10,Wednesday,No,No,Weekday,2024-10-Wednesday
20241052,2024,10,Wednesday,No,No,Weekday,2024-10-Wednesday
20241308,2024,10,Wednesday,No,No,Weekday,2024-10-Wednesday
20246027,2024,9,Friday,No,No,Weekday,2024-9-Friday
20244072,2024,9,Friday,No,No,Weekday,2024-9-Friday
20241195,2024,9,Friday,No,No,Weekday,2024-9-Friday
20244043,2024,9,Friday,No,No,Weekday,2024-9-Friday
20241102,2024,9,Friday,No,No,Weekday,2024-9-Friday
20243194,2024,9,Friday,No,No,Weekday,2024-9-Friday
20243070,2024,9,Friday,No,No,Weekday,2024-9-Friday
20243165,2024,9,Friday,No,No,Weekend,2024-9-Friday
20241063,2024,9,Friday,No,No,Weekend,2024-9-Friday
20241132,2024,9,Friday,No,No,Weekend,2024-9-Friday
20241292,2024,9,Friday,No,No,Weekend,2024-9-Friday
20241189,2024,9,Friday,No,No,Weekend,2024-9-Friday
20241233,2024,9,Friday,No,No,Weekend,2024-9-Friday
20242115,2024,9,Monday,No,No,Weekday,2024-9-Monday
20242167,2024,9,Monday,No,No,Weekday,2024-9-Monday
20241016,2024,9,Monday,No,No,Weekday,2024-9-Monday
20243234,2024,9,Monday,No,No,Weekday,2024-9-Monday
20246025,2024,9,Monday,No,No,Weekday,2024-9-Monday
20241220,2024,9,Monday,No,No,Weekday,2024-9-Monday
20241034,2024,9,Monday,No,No,Weekday,2024-9-Monday
20242012,2024,9,Monday,No,No,Weekday,2024-9-Monday
20243009,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20241269,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20242093,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20242176,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20242255,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20241066,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20242175,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20243207,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20242029,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20241246,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20241078,2024,9,Saturday,No,No,Weekend,2024-9-Saturday
20243064,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20241013,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20246019,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20242257,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20241138,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20244014,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
20244069,2024,9,Sunday,No,No,Weekend,2024-9-Sunday
