crash_id,person_id
20241060,20241060_Driver_Male_45_40_to_64
20241060,20241060_Passenger_Female_11_0_to_16
20242022,20242022_Driver_Female_53_40_to_64
20241037,20241037_Driver_Male_63_40_to_64
20241257,20241257_Driver_Male_62_40_to_64
20241128,20241128_Driver_Male_43_40_to_64
20243089,20243089_Driver_Male_73_65_to_74
20242181,20242181_Driver_Male_24_17_to_25
20243082,20243082_Motorcycle rider_Male_46_40_to_64
20243150,20243150_Driver_Female_48_40_to_64
20243170,20243170_Pedestrian_Male_69_65_to_74
20243239,20243239_Driver_Male_30_26_to_39
20242040,20242040_Driver_Male_37_26_to_39
20243084,20243084_Motorcycle rider_Male_51_40_to_64
20241030,20241030_Driver_Male_46_40_to_64
20243127,20243127_Motorcycle rider_Male_73_65_to_74
20243003,20243003_Passenger_Female_78_75_or_older
20243266,20243266_Driver_Male_73_65_to_74
20241042,20241042_Passenger_Female_74_65_to_74
20243121,20243121_Motorcycle rider_Male_20_17_to_25
20241175,20241175_Driver_Male_18_17_to_25
20243072,20243072_Motorcycle rider_Male_27_26_to_39
20244057,20244057_Driver_Male_27_26_to_39
20241091,20241091_Passenger_Male_14_0_to_16
20243201,20243201_Driver_Male_37_26_to_39
20242135,20242135_Driver_Female_53_40_to_64
20243225,20243225_Motorcycle rider_Male_41_40_to_64
20241167,20241167_Motorcycle rider_Male_27_26_to_39
20244060,20244060_Motorcycle rider_Male_48_40_to_64
20241268,20241268_Motorcycle rider_Female_34_26_to_39
20244013,20244013_Motorcycle rider_Male_22_17_to_25
20243235,20243235_Passenger_Male_58_40_to_64
20243235,20243235_Passenger_Female_68_65_to_74
20244059,20244059_Passenger_Male_5_0_to_16
20244059,20244059_Passenger_Female_15_0_to_16
20241266,20241266_Motorcycle rider_Male_37_26_to_39
20243131,20243131_Driver_Male_56_40_to_64
20242080,20242080_Driver_Male_20_17_to_25
20241287,20241287_Driver_Male_21_17_to_25
20241152,20241152_Driver_Male_30_26_to_39
20243161,20243161_Driver_Male_35_26_to_39
20242042,20242042_Pedestrian_Female_2_0_to_16
20243210,20243210_Motorcycle rider_Female_59_40_to_64
20244025,20244025_Motorcycle rider_Male_76_75_or_older
20243088,20243088_Pedestrian_Male_76_75_or_older
20241211,20241211_Driver_Male_51_40_to_64
20241211,20241211_Driver_Male_44_40_to_64
20242007,20242007_Driver_Male_34_26_to_39
20241204,20241204_Driver_Male_77_75_or_older
20244062,20244062_Motorcycle rider_Male_19_17_to_25
20241137,20241137_Motorcycle rider_Male_65_65_to_74
20243117,20243117_Motorcycle rider_Male_21_17_to_25
20242081,20242081_Motorcycle rider_Male_27_26_to_39
20243206,20243206_Motorcycle rider_Male_21_17_to_25
20248003,20248003_Motorcycle rider_Female_33_26_to_39
20244032,20244032_Driver_Female_19_17_to_25
20241153,20241153_Driver_Male_49_40_to_64
20242138,20242138_Driver_Male_34_26_to_39
20243198,20243198_Driver_Male_61_40_to_64
20242107,20242107_Pedestrian_Male_11_0_to_16
20243080,20243080_Pedestrian_Female_39_26_to_39
20242204,20242204_Motorcycle rider_Male_30_26_to_39
20242139,20242139_Driver_Male_49_40_to_64
20241103,20241103_Driver_Male_41_40_to_64
20242129,20242129_Driver_Female_31_26_to_39
20244027,20244027_Driver_Female_76_75_or_older
20243006,20243006_Pedestrian_Male_78_75_or_older
20243108,20243108_Motorcycle rider_Male_20_17_to_25
20243212,20243212_Pedal cyclist_Male_9_0_to_16
20241237,20241237_Motorcycle rider_Male_15_0_to_16
20241052,20241052_Pedestrian_Male_37_26_to_39
20241308,20241308_Driver_Male_30_26_to_39
20246027,20246027_Pedestrian_Male_52_40_to_64
20244072,20244072_Pedestrian_Female_1_0_to_16
20241195,20241195_Driver_Female_52_40_to_64
20244043,20244043_Driver_Female_93_75_or_older
20241102,20241102_Driver_Male_87_75_or_older
20243194,20243194_Motorcycle rider_Male_37_26_to_39
20243070,20243070_Motorcycle rider_Male_31_26_to_39
20243165,20243165_Motorcycle rider_Male_34_26_to_39
20241063,20241063_Driver_Male_53_40_to_64
20241132,20241132_Motorcycle rider_Male_23_17_to_25
20241292,20241292_Driver_Female_27_26_to_39
20241189,20241189_Driver_Female_65_65_to_74
20241233,20241233_Passenger_Male_19_17_to_25
20241233,20241233_Passenger_Female_57_40_to_64
20241233,20241233_Passenger_Male_18_17_to_25
20241233,20241233_Driver_Male_57_40_to_64
20242115,20242115_Driver_Male_72_65_to_74
20242167,20242167_Driver_Male_81_75_or_older
20241016,20241016_Driver_Female_83_75_or_older
20243234,20243234_Driver_Male_60_40_to_64
20246025,20246025_Driver_Male_66_65_to_74
20241220,20241220_Driver_Female_44_40_to_64
20241034,20241034_Motorcycle rider_Male_21_17_to_25
20242012,20242012_Pedestrian_Female_79_75_or_older
20243009,20243009_Driver_Male_17_17_to_25
20243009,20243009_Motorcycle rider_Male_32_26_to_39
20241269,20241269_Driver_Male_53_40_to_64
20242093,20242093_Driver_Male_74_65_to_74
20242176,20242176_Motorcycle rider_Male_22_17_to_25
20242255,20242255_Motorcycle rider_Male_22_17_to_25
20241066,20241066_Driver_Male_58_40_to_64
20242175,20242175_Motorcycle rider_Male_23_17_to_25
20243207,20243207_Pedestrian_Female_74_65_to_74
20242029,20242029_Pedestrian_Male_32_26_to_39
20241246,20241246_Driver_Male_41_40_to_64
20241078,20241078_Driver_Male_17_17_to_25
20243064,20243064_Pedestrian_Male_53_40_to_64
20241013,20241013_Passenger_Female_22_17_to_25
20241013,20241013_Passenger_Male_22_17_to_25
20246019,20246019_Driver_Male_51_40_to_64
20242257,20242257_Passenger_Male_84_75_or_older
20241138,20241138_Motorcycle rider_Male_50_40_to_64
20244014,20244014_Driver_Male_65_65_to_74
20244069,20244069_Passenger_Female_59_40_to_64
20242053,20242053_Driver_Male_25_17_to_25
20243111,20243111_Driver_Female_22_17_to_25
20243067,20243067_Driver_Male_56_40_to_64
20242186,20242186_Driver_Male_48_40_to_64
20242250,20242250_Motorcycle rider_Male_21_17_to_25
20243167,20243167_Motorcycle rider_Male_38_26_to_39
20243106,20243106_Pedestrian_Female_35_26_to_39
20242098,20242098_Motorcycle rider_Male_37_26_to_39
20241179,20241179_Motorcycle rider_Male_60_40_to_64
20242070,20242070_Driver_Female_56_40_to_64
20243261,20243261_Motorcycle rider_Male_63_40_to_64
20243227,20243227_Driver_Male_20_17_to_25
20242243,20242243_Pedal cyclist_Male_81_75_or_older
20242102,20242102_Driver_Female_80_75_or_older
20241109,20241109_Driver_Male_18_17_to_25
20243187,20243187_Pedestrian_Male_36_26_to_39
20241301,20241301_Motorcycle rider_Male_57_40_to_64
20243135,20243135_Driver_Male_28_26_to_39
20241248,20241248_Driver_Male_96_75_or_older
20243268,20243268_Driver_Male_63_40_to_64
20242071,20242071_Motorcycle rider_Male_38_26_to_39
20241020,20241020_Motorcycle rider_Male_58_40_to_64
20241294,20241294_Pedestrian_Female_15_0_to_16
20241304,20241304_Driver_Male_62_40_to_64
20242123,20242123_Pedestrian_Male_62_40_to_64
20242144,20242144_Pedestrian_Male_39_26_to_39
20241199,20241199_Driver_Male_23_17_to_25
20241199,20241199_Passenger_Female_26_26_to_39
20243066,20243066_Passenger_Male_25_17_to_25
20243233,20243233_Driver_Male_21_17_to_25
20243203,20243203_Driver_Male_50_40_to_64
20242209,20242209_Driver_Male_40_40_to_64
20242056,20242056_Pedestrian_Male_57_40_to_64
20242130,20242130_Motorcycle rider_Male_44_40_to_64
20243109,20243109_Driver_Male_64_40_to_64
20243109,20243109_Passenger_Female_60_40_to_64
20243010,20243010_Driver_Male_68_65_to_74
