crashID,dayType,timeOfDay
20242112,Weekday,Day
20243092,Weekday,Day
20243042,Weekday,Day
20244005,Weekday,Day
20243178,Weekday,Day
20244050,Weekday,Day
20241208,Weekday,Night
20242259,Weekday,Day
20242212,Weekday,Day
20243019,Weekday,Day
20241036,Weekday,Day
20242226,Weekday,Day
20247007,Weekday,Day
20243074,Weekday,Day
20241003,Weekday,Day
20241277,Weekday,Day
20241249,Weekday,Day
20242020,Weekday,Day
20242108,Weekday,Night
20243120,Weekday,Night
20242187,Weekday,Night
20243116,Weekday,Night
20242133,Weekday,Night
20241092,Weekday,Night
20242121,Weekday,Day
20243214,Weekday,Day
20241118,Weekday,Day
20243157,Weekday,Day
20241190,Weekday,Day
20241097,Weekday,Day
20242265,Weekday,Day
20241250,Weekday,Day
20242200,Weekday,Day
20242234,Weekday,Night
20242048,Weekday,Night
20242003,Weekday,Day
20243252,Weekday,Day
20243061,Weekday,Day
20242162,Weekday,Day
20244071,Weekday,Day
20241047,Weekday,Day
20241205,Weekday,Day
20241024,Weekend,Night
20242096,Weekend,Night
20242240,Weekend,Night
20243139,Weekend,Night
20243075,Weekend,Night
20244051,Weekday,Day
20241070,Weekday,Day
20244079,Weekday,Day
20243051,Weekday,Day
20242237,Weekday,Day
20243148,Weekday,Day
20242157,Weekday,Day
20244022,Weekday,Day
20241142,Weekday,Day
20241124,Weekday,Day
20241010,Weekday,Day
20241252,Weekday,Night
20243155,Weekday,Night
20243163,Weekend,Night
20243269,Weekend,Day
20243056,Weekend,Night
20243049,Weekend,Night
20243103,Weekend,Night
20242233,Weekend,Night
20243014,Weekend,Day
20241198,Weekend,Day
20242249,Weekend,Day
20243154,Weekend,Day
20241100,Weekend,Day
20241074,Weekend,Day
20243263,Weekend,Day
20242016,Weekend,Day
20244017,Weekend,Day
20244009,Weekend,Day
20242085,Weekend,Day
20244012,Weekend,Night
20243205,Weekend,Night
20241035,Weekend,Night
20241161,Weekday,Day
20241062,Weekday,Day
20243119,Weekday,Night
20241155,Weekday,Night
20243152,Weekday,Night
20243053,Weekday,Day
20241039,Weekday,Day
20242154,Weekday,Day
20243215,Weekday,Day
20243026,Weekday,Day
20241050,Weekday,Day
20243271,Weekday,Day
20241133,Weekday,Day
20248008,Weekday,Day
20244037,Weekday,Night
20242143,Weekday,Night
20241273,Weekday,Night
20242067,Weekday,Day
20242214,Weekday,Day
20243238,Weekday,Day
20242011,Weekday,Day
20241180,Weekday,Day
20241059,Weekday,Day
20241021,Weekday,Day
20242254,Weekday,Night
20243256,Weekday,Night
20241245,Weekday,Night
20243126,Weekday,Day
20244082,Weekday,Day
20241108,Weekday,Day
20242137,Weekend,Night
20241005,Weekend,Night
20241051,Weekend,Night
20243128,Weekend,Night
20242109,Weekend,Night
20241116,Weekend,Night
20243226,Weekday,Day
20242092,Weekday,Day
20242125,Weekday,Night
20244077,Weekend,Day
20242049,Weekend,Day
20243265,Weekend,Day
20243122,Weekend,Night
20243151,Weekend,Day
20241283,Weekend,Day
20242262,Weekend,Day
20242100,Weekend,Day
20242211,Weekend,Day
20241168,Weekend,Night
20241162,Weekend,Night
20241073,Weekend,Night
20243097,Weekday,Night
20242182,Weekday,Day
20243123,Weekday,Day
20242044,Weekday,Day
20241120,Weekday,Day
20242266,Weekday,Night
20241048,Weekday,Night
20243023,Weekday,Night
20243137,Weekday,Night
20241200,Weekday,Day
20242151,Weekday,Day
20242223,Weekday,Day
20241259,Weekday,Day
20241264,Weekday,Day
20243086,Weekday,Day
20242215,Weekday,Day
20246012,Weekday,Day
20244068,Weekday,Day
20241296,Weekday,Night
20241006,Weekday,Night
20241258,Weekday,Night
20241290,Weekday,Night
20241056,Weekday,Night
20242014,Weekday,Night
20241251,Weekday,Night
20243076,Weekday,Day
20243162,Weekday,Day
20242027,Weekday,Day
20243029,Weekday,Day
20242179,Weekday,Day
20244080,Weekday,Day
20242241,Weekday,Day
20244047,Weekday,Day
20241041,Weekday,Night
20241165,Weekday,Night
20242077,Weekday,Night
20242078,Weekday,Night
20242017,Weekday,Night
20243223,Weekday,Night
20241271,Weekday,Night
20242217,Weekday,Day
20242245,Weekday,Day
20241170,Weekday,Day
20242199,Weekday,Day
20241177,Weekday,Day
20246015,Weekday,Day
20242165,Weekend,Night
20241011,Weekend,Night
20243260,Weekend,Night
20241083,Weekend,Night
20246006,Weekday,Day
20244058,Weekday,Day
20243218,Weekday,Day
20241089,Weekday,Day
20243146,Weekday,Day
20241295,Weekday,Day
20243264,Weekday,Day
20241136,Weekday,Day
20241281,Weekday,Day
20241076,Weekday,Night
20244073,Weekday,Night
20242094,Weekend,Night
20241058,Weekend,Night
20241019,Weekend,Day
20241275,Weekend,Day
20243222,Weekend,Day
20241065,Weekend,Day
20243094,Weekend,Day
20243145,Weekend,Day
20241305,Weekend,Night
20242146,Weekend,Night
20241231,Weekend,Night
20241145,Weekend,Night
20241228,Weekend,Night
20243030,Weekend,Night
20243034,Weekend,Day
20242058,Weekend,Day
20241085,Weekend,Day
20243091,Weekend,Day
20243184,Weekend,Day
20242104,Weekend,Day
20248004,Weekend,Day
20242101,Weekend,Day
20243195,Weekend,Day
20243055,Weekend,Night
20241212,Weekend,Night
20241241,Weekend,Night
20243071,Weekday,Night
20241171,Weekday,Night
20243193,Weekday,Day
20244011,Weekday,Day
20242225,Weekday,Day
20242160,Weekday,Day
20241183,Weekday,Day
20241025,Weekday,Day
20241079,Weekday,Day
20246010,Weekday,Day
20242235,Weekday,Day
20242113,Weekday,Day
20242025,Weekday,Day
20241148,Weekday,Day
20241262,Weekday,Night
20241172,Weekday,Night
20242192,Weekday,Day
20241014,Weekday,Day
20242191,Weekday,Day
20243189,Weekday,Day
20244033,Weekday,Day
20241206,Weekday,Day
20243069,Weekday,Day
20243188,Weekday,Day
20241130,Weekday,Night
20241178,Weekday,Night
20248011,Weekday,Night
20241043,Weekday,Day
20244054,Weekday,Day
20243032,Weekday,Day
20244015,Weekday,Day
20243112,Weekday,Day
20243253,Weekday,Night
20246028,Weekday,Night
20242244,Weekday,Night
20244006,Weekday,Night
20241154,Weekday,Night
20241146,Weekday,Night
20242009,Weekday,Night
20241217,Weekday,Day
20242030,Weekday,Day
20243025,Weekday,Day
20242168,Weekday,Day
20246021,Weekday,Day
20241238,Weekday,Day
20241158,Weekday,Day
20243228,Weekday,Day
20242210,Weekday,Day
20242253,Weekday,Day
20242256,Weekend,Night
20241289,Weekend,Night
20243045,Weekend,Night
20242028,Weekend,Night
20243054,Weekend,Night
20241187,Weekend,Night
20246007,Weekend,Night
20241126,Weekday,Day
20244049,Weekday,Day
20242021,Weekday,Day
20242045,Weekday,Night
20243101,Weekday,Night
20242206,Weekend,Night
20242117,Weekend,Day
20241226,Weekend,Day
20242079,Weekend,Day
20241156,Weekend,Day
20243093,Weekend,Day
20243125,Weekend,Night
20243134,Weekend,Night
20242239,Weekend,Night
20241232,Weekend,Night
20241061,Weekend,Night
20244056,Weekend,Day
20242039,Weekend,Day
20241182,Weekend,Day
20241044,Weekend,Day
20242131,Weekend,Day
20244031,Weekend,Day
20242059,Weekend,Night
20242033,Weekend,Night
20241207,Weekend,Night
20243033,Weekend,Night
20242159,Weekday,Night
20243177,Weekday,Night
20243241,Weekday,Night
20243132,Weekday,Night
20243159,Weekday,Day
20242072,Weekday,Day
20243028,Weekday,Day
20243105,Weekday,Day
20242258,Weekday,Day
20241007,Weekday,Day
20241227,Weekday,Day
20243130,Weekday,Day
20242065,Weekday,Day
20243259,Weekday,Day
20244052,Weekday,Day
20242247,Weekday,Night
20241093,Weekday,Night
20241276,Weekday,Night
20242208,Weekday,Night
20241157,Weekday,Day
20244065,Weekday,Day
20242054,Weekday,Day
20242221,Weekday,Day
20242197,Weekday,Day
20241075,Weekday,Night
20241279,Weekday,Night
20243095,Weekday,Night
20243272,Weekday,Day
20243027,Weekday,Day
20248001,Weekday,Day
20242228,Weekday,Night
20242105,Weekday,Night
20241069,Weekday,Day
20244074,Weekday,Day
20244008,Weekday,Day
20243100,Weekday,Day
20241122,Weekday,Day
20244064,Weekday,Day
20243138,Weekday,Day
20241141,Weekday,Day
20241244,Weekday,Day
20242236,Weekday,Day
20242195,Weekday,Day
20242010,Weekday,Day
20242205,Weekday,Day
20244002,Weekend,Night
20242041,Weekend,Night
20242084,Weekend,Night
20243230,Weekend,Night
20241114,Weekend,Night
20243068,Weekday,Day
20243099,Weekday,Day
20242145,Weekday,Day
20243062,Weekday,Day
20244048,Weekday,Day
20241112,Weekday,Day
20243047,Weekday,Day
20242198,Weekday,Day
20243202,Weekday,Night
20244029,Weekday,Night
20241185,Weekend,Night
20242153,Weekend,Night
20243257,Weekend,Night
20243149,Weekend,Day
20242202,Weekend,Day
20243245,Weekend,Day
20244004,Weekend,Day
20241123,Weekend,Day
20242222,Weekend,Day
20242248,Weekend,Day
20241213,Weekend,Night
20242220,Weekend,Night
20242047,Weekend,Night
20243270,Weekend,Night
20241121,Weekend,Day
20243016,Weekend,Day
20241038,Weekend,Day
20243200,Weekend,Day
20243039,Weekend,Day
20242246,Weekend,Day
20242063,Weekend,Day
20243180,Weekend,Day
20241297,Weekend,Night
20243059,Weekend,Night
20242242,Weekend,Night
20242091,Weekday,Day
20243077,Weekday,Day
20244038,Weekday,Day
20243136,Weekday,Day
20243211,Weekday,Day
20241270,Weekday,Day
20241225,Weekday,Day
20241084,Weekday,Night
20243050,Weekday,Night
20243216,Weekday,Day
20242190,Weekday,Day
20243115,Weekday,Day
20242116,Weekday,Day
20241129,Weekday,Day
20244076,Weekday,Day
20243141,Weekday,Night
20241095,Weekday,Night
20242082,Weekday,Day
20241090,Weekday,Day
20241113,Weekday,Day
