crash_id,state_code
20241280,NSW
20242118,VIC
20241193,NSW
20242150,VIC
20241239,NSW
20242111,VIC
20243255,QLD
20241033,NSW
20241288,NSW
20243012,QLD
20241164,NSW
20243250,QLD
20242076,VIC
20241099,NSW
20243052,QLD
20241015,NSW
20243219,QLD
20241184,NSW
20241284,NSW
20242218,VIC
20241008,NSW
20244075,SA
20242147,VIC
20248010,ACT
20234108,SA
20234099,SA
20233145,QLD
20236026,TAS
20233259,QLD
20236028,TAS
20231088,NSW
20231189,NSW
20232156,VIC
20233100,QLD
20231103,NSW
20232192,VIC
20233056,QLD
20231091,NSW
20232211,VIC
20231104,NSW
20231155,NSW
20232098,VIC
20232128,VIC
20233085,QLD
20234027,SA
20232061,VIC
20234033,SA
20232044,VIC
20232250,VIC
20233231,QLD
20231020,NSW
20231115,NSW
20231038,NSW
20231108,NSW
20231281,NSW
20233078,QLD
20231261,NSW
20233258,QLD
20236009,TAS
20232237,VIC
20232188,VIC
20233165,QLD
20231098,NSW
20234029,SA
20231102,NSW
20231198,NSW
20231129,NSW
20231231,NSW
20233120,QLD
20232196,VIC
20234053,SA
20232240,VIC
20231095,NSW
20232119,VIC
20232243,VIC
20234042,SA
20232067,VIC
20234079,SA
20231023,NSW
20233221,QLD
20233081,QLD
20231076,NSW
20232045,VIC
20236006,TAS
20234061,SA
20232201,VIC
20236025,TAS
20233189,QLD
20233111,QLD
20232097,VIC
20233036,QLD
20231250,NSW
20233228,QLD
20234084,SA
20232009,VIC
20231145,NSW
20231056,NSW
20232115,VIC
20233012,QLD
20232018,VIC
20233200,QLD
20233110,QLD
20233154,QLD
20231223,NSW
20234067,SA
20231182,NSW
20238004,ACT
20231173,NSW
20233155,QLD
20233161,QLD
20234020,SA
20231052,NSW
20231296,NSW
20231143,NSW
20234021,SA
20231302,NSW
20231285,NSW
20231178,NSW
20234031,SA
20237013,NT
20233136,QLD
20233051,QLD
20231229,NSW
20233176,QLD
20234068,SA
20231044,NSW
20231190,NSW
20236012,TAS
20233205,QLD
20233074,QLD
20233050,QLD
20231045,NSW
20231205,NSW
20234025,SA
20231119,NSW
20231272,NSW
20233139,QLD
20233043,QLD
20231256,NSW
20234018,SA
20231278,NSW
20233008,QLD
20234063,SA
20233069,QLD
20234017,SA
20231029,NSW
20231111,NSW
20234034,SA
20231160,NSW
20233224,QLD
20231139,NSW
20231303,NSW
20231283,NSW
20231141,NSW
20231206,NSW
20233017,QLD
20231175,NSW
20233073,QLD
20233114,QLD
20231064,NSW
20233032,QLD
20233063,QLD
20231271,NSW
20234094,SA
20231152,NSW
20231068,NSW
20233020,QLD
20233134,QLD
20233198,QLD
20231252,NSW
20231227,NSW
20231292,NSW
20232065,VIC
20232171,VIC
20232063,VIC
20232074,VIC
20231288,NSW
20232170,VIC
20231133,NSW
20231249,NSW
20231171,NSW
20233196,QLD
20233245,QLD
20231025,NSW
20231244,NSW
20232118,VIC
20231128,NSW
20232048,VIC
20236004,TAS
20232204,VIC
20231251,NSW
20231263,NSW
20231078,NSW
20233251,QLD
20234077,SA
20236003,TAS
20233246,QLD
20232248,VIC
20237008,NT
20232026,VIC
20233170,QLD
20233210,QLD
20233076,QLD
20233131,QLD
20233133,QLD
20232124,VIC
20232136,VIC
20233183,QLD
20232022,VIC
20231168,NSW
20232217,VIC
20236016,TAS
20231220,NSW
20233195,QLD
20231301,NSW
20233167,QLD
20233021,QLD
20231106,NSW
20231149,NSW
20231226,NSW
20236022,TAS
20232084,VIC
20232172,VIC
20237023,NT
20232154,VIC
20234026,SA
20232103,VIC
20232163,VIC
20231163,NSW
20231262,NSW
20231059,NSW
20236011,TAS
20234095,SA
20232205,VIC
20234059,SA
20234066,SA
20232223,VIC
20231010,NSW
20231274,NSW
20231188,NSW
20231062,NSW
20233191,QLD
20234087,SA
20232150,VIC
20233144,QLD
20233208,QLD
20233212,QLD
20234032,SA
20232125,VIC
20231234,NSW
20233121,QLD
20232081,VIC
20233098,QLD
20233070,QLD
20233040,QLD
20236027,TAS
20232239,VIC
20231245,NSW
20231097,NSW
20232152,VIC
20231022,NSW
20231117,NSW
20231164,NSW
20231019,NSW
20233175,QLD
20233015,QLD
20231043,NSW
20234057,SA
20234105,SA
20233214,QLD
20234035,SA
20231067,NSW
20231085,NSW
20231026,NSW
20233263,QLD
20237021,NT
20231214,NSW
20232181,VIC
20231086,NSW
20232076,VIC
20233053,QLD
20233250,QLD
20233118,QLD
20231011,NSW
20232135,VIC
20233035,QLD
20237006,NT
20233058,QLD
20233264,QLD
20232005,VIC
20234005,SA
20231012,NSW
20231158,NSW
20231248,NSW
20234006,SA
20233204,QLD
20233027,QLD
20232146,VIC
20233162,QLD
20232182,VIC
20232042,VIC
20231165,NSW
20233143,QLD
20231297,NSW
20232023,VIC
20233153,QLD
20232094,VIC
20231074,NSW
20233059,QLD
20233014,QLD
20232051,VIC
20231195,NSW
20231005,NSW
20232252,VIC
20234109,SA
20231136,NSW
20234052,SA
20234056,SA
20232033,VIC
20232116,VIC
20232189,VIC
20233169,QLD
20232245,VIC
20231255,NSW
20231057,NSW
20233229,QLD
20231238,NSW
20234062,SA
20234048,SA
20232214,VIC
20231150,NSW
20233093,QLD
20231109,NSW
20233247,QLD
20232224,VIC
20232069,VIC
20232004,VIC
20233066,QLD
20231101,NSW
20232190,VIC
20233001,QLD
20232025,VIC
20231289,NSW
20233045,QLD
20231036,NSW
20233223,QLD
20231264,NSW
20233249,QLD
20232256,VIC
20231035,NSW
20231159,NSW
20232215,VIC
20232031,VIC
20231242,NSW
20231046,NSW
20231087,NSW
20236007,TAS
20231070,NSW
20231201,NSW
20233234,QLD
20233209,QLD
20233094,QLD
20231200,NSW
20232257,VIC
20231146,NSW
20231028,NSW
20233029,QLD
20233254,QLD
20233241,QLD
20231089,NSW
20233180,QLD
20233193,QLD
20232225,VIC
20231027,NSW
20231180,NSW
20231156,NSW
20231092,NSW
20231162,NSW
20236017,TAS
20233117,QLD
20233119,QLD
20233123,QLD
20234036,SA
20232153,VIC
20233152,QLD
20232138,VIC
20234011,SA
20233105,QLD
20232258,VIC
20233232,QLD
20231204,NSW
20234071,SA
20231259,NSW
20232210,VIC
20233181,QLD
20232087,VIC
20237005,NT
20232131,VIC
20233135,QLD
20231153,NSW
20236005,TAS
20232068,VIC
20232007,VIC
20233102,QLD
20233005,QLD
20231291,NSW
20234038,SA
20232057,VIC
20233252,QLD
20233213,QLD
20232143,VIC
20234012,SA
20231207,NSW
20233013,QLD
20231221,NSW
20233211,QLD
20231210,NSW
20233108,QLD
20231090,NSW
20232127,VIC
20232017,VIC
20233016,QLD
20233004,QLD
20231053,NSW
20234010,SA
20233163,QLD
20233237,QLD
20233097,QLD
20231007,NSW
20231135,NSW
20233222,QLD
20234082,SA
20233095,QLD
20231034,NSW
20232186,VIC
20237001,NT
20231008,NSW
20233006,QLD
20231040,NSW
20231075,NSW
20233140,QLD
20233185,QLD
20232034,VIC
20232133,VIC
20232173,VIC
20234080,SA
20234106,SA
20233019,QLD
20232232,VIC
20233038,QLD
20232199,VIC
20232231,VIC
20231071,NSW
20231113,NSW
20232157,VIC
20234091,SA
20233201,QLD
20231042,NSW
20231225,NSW
20231147,NSW
20234004,SA
20238003,ACT
20231073,NSW
20234015,SA
20231280,NSW
20231047,NSW
20231083,NSW
20232247,VIC
20232145,VIC
20233109,QLD
20234045,SA
20232222,VIC
20231294,NSW
20231039,NSW
20231127,NSW
20231184,NSW
20232216,VIC
20233087,QLD
20233022,QLD
20232020,VIC
20236014,TAS
20232006,VIC
20233142,QLD
20231268,NSW
20231183,NSW
20231258,NSW
20232147,VIC
20234016,SA
20233132,QLD
20233018,QLD
20233206,QLD
20232050,VIC
20231100,NSW
20234085,SA
20231037,NSW
20231218,NSW
20233233,QLD
20233238,QLD
20232218,VIC
20231177,NSW
20233002,QLD
20232202,VIC
20231051,NSW
20231126,NSW
20233160,QLD
20233103,QLD
20232187,VIC
20232255,VIC
20231009,NSW
20233146,QLD
20232126,VIC
20231018,NSW
20233262,QLD
20231021,NSW
20232242,VIC
20233128,QLD
20232107,VIC
20234001,SA
20237009,NT
20236019,TAS
20231300,NSW
20232086,VIC
20233024,QLD
20232002,VIC
20231138,NSW
20233125,QLD
20232251,VIC
20233067,QLD
20233190,QLD
20233240,QLD
20233030,QLD
20232030,VIC
20233166,QLD
20232056,VIC
20233044,QLD
20231211,NSW
20232121,VIC
20231187,NSW
20236031,TAS
20232114,VIC
20233088,QLD
20237012,NT
20233150,QLD
20231033,NSW
20231082,NSW
20231167,NSW
20233126,QLD
20231174,NSW
20231286,NSW
20232166,VIC
20231170,NSW
20231193,NSW
20233039,QLD
20231185,NSW
20233075,QLD
20232235,VIC
20236029,TAS
20231253,NSW
20233089,QLD
20231157,NSW
20232108,VIC
20231194,NSW
20233090,QLD
20233104,QLD
20236034,TAS
20231118,NSW
20234107,SA
20232158,VIC
20233079,QLD
20232079,VIC
20231219,NSW
20231140,NSW
20231080,NSW
20231116,NSW
20234013,SA
20233007,QLD
20232038,VIC
20231079,NSW
20231151,NSW
20232035,VIC
20231243,NSW
20233065,QLD
20233203,QLD
20233148,QLD
20234089,SA
20233172,QLD
20231260,NSW
20233256,QLD
20234102,SA
20231236,NSW
20233186,QLD
20231228,NSW
20232209,VIC
20234044,SA
20233072,QLD
20231122,NSW
20233179,QLD
20233192,QLD
20232052,VIC
20234078,SA
20232260,VIC
20233112,QLD
20233083,QLD
20233197,QLD
20232080,VIC
20231084,NSW
20233199,QLD
20234022,SA
20233113,QLD
20231273,NSW
20236032,TAS
20233137,QLD
20232085,VIC
20231266,NSW
20233151,QLD
20233116,QLD
20231295,NSW
20233127,QLD
20231024,NSW
20231279,NSW
20233011,QLD
20234086,SA
20234058,SA
20231061,NSW
20231016,NSW
20236010,TAS
20233130,QLD
20236024,TAS
20234055,SA
20233173,QLD
20233071,QLD
20231241,NSW
20233054,QLD
20231048,NSW
20232180,VIC
20231284,NSW
20231222,NSW
20233235,QLD
20233243,QLD
20232102,VIC
20233062,QLD
20233242,QLD
20234051,SA
20233034,QLD
20231247,NSW
20231072,NSW
20231125,NSW
20231032,NSW
20236008,TAS
20231293,NSW
20231065,NSW
20234002,SA
20231063,NSW
20233226,QLD
20234088,SA
20233106,QLD
20231191,NSW
20233215,QLD
20231137,NSW
20232208,VIC
20231176,NSW
20231217,NSW
20232207,VIC
20231298,NSW
20232043,VIC
20232238,VIC
20233026,QLD
20237007,NT
20231142,NSW
20231290,NSW
20231154,NSW
20231002,NSW
20231015,NSW
20233033,QLD
20234101,SA
20233046,QLD
20236018,TAS
20231004,NSW
20231066,NSW
20232129,VIC
20232228,VIC
20233107,QLD
20233141,QLD
20234070,SA
20231124,NSW
20233009,QLD
20233091,QLD
20231081,NSW
20231131,NSW
20233086,QLD
20232032,VIC
20231203,NSW
20231148,NSW
20233248,QLD
20231050,NSW
20232159,VIC
20232029,VIC
20233230,QLD
20234104,SA
20231192,NSW
20234098,SA
20231132,NSW
20233042,QLD
20231224,NSW
20231003,NSW
20233064,QLD
20231254,NSW
20233060,QLD
20233061,QLD
20233115,QLD
20233260,QLD
20233227,QLD
20231230,NSW
20236020,TAS
20234019,SA
20234096,SA
20231232,NSW
20234064,SA
20232117,VIC
20231054,NSW
20233049,QLD
20234093,SA
20231287,NSW
20231299,NSW
20233244,QLD
20231179,NSW
20231267,NSW
20231265,NSW
20233084,QLD
20231269,NSW
20233025,QLD
20234037,SA
20234030,SA
20231144,NSW
20233207,QLD
20234060,SA
20233099,QLD
20232014,VIC
20231216,NSW
20234069,SA
20231172,NSW
20233177,QLD
20232064,VIC
20231120,NSW
20231030,NSW
20233257,QLD
20233057,QLD
20233178,QLD
20231233,NSW
20234008,SA
20232175,VIC
20232197,VIC
20231186,NSW
