state,sa4Name,lgaName,nationalRemoteness,nationalRoadType,locationID
VIC,Melbourne - South East,Kingston (Vic.),Major Cities of Australia,Local Road,VIC_Kingston_(Vic.)_Melbourne___South_East
VIC,Melbourne - Inner East,Manningham,Major Cities of Australia,Arterial Road,VIC_Manningham_Melbourne___Inner_East
QLD,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road,QLD_Sunshine_Coast_Sunshine_Coast
NSW,Central West,Bathurst,Inner Regional Australia,National or State Highway,NSW_Bathurst_Central_West
SA,South Australia - Outback,Wudinna,Remote Australia,National or State Highway,SA_Wudinna_South_Australia___Outback
NSW,New England and North West,Inverell,Outer Regional Australia,Arterial Road,NSW_Inverell_New_England_and_North_West
VIC,Melbourne - West,Brimbank,Major Cities of Australia,Arterial Road,VIC_Brimbank_Melbourne___West
VIC,Melbourne - North East,Darebin,Major Cities of Australia,Collector Road,VIC_Darebin_Melbourne___North_East
NSW,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Local Road,NSW_Penrith_Sydney___Outer_West_and_Blue_Mountains
SA,Adelaide - West,Charles Sturt,Major Cities of Australia,Collector Road,SA_Charles_Sturt_Adelaide___West
TAS,Launceston and North East,Flinders (Tas.),Very Remote Australia,Arterial Road,TAS_Flinders_(Tas.)_Launceston_and_North_East
QLD,Ipswich,Scenic Rim,Inner Regional Australia,Collector Road,QLD_Scenic_Rim_Ipswich
TAS,West and North West,Burnie,Outer Regional Australia,Arterial Road,TAS_Burnie_West_and_North_West
VIC,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Pedestrian Thoroughfare,VIC_Mornington_Peninsula_Mornington_Peninsula
NSW,New England and North West,Armidale,Outer Regional Australia,Access road,NSW_Armidale_New_England_and_North_West
VIC,Ballarat,Ballarat,Inner Regional Australia,Arterial Road,VIC_Ballarat_Ballarat
NSW,Far West and Orana,Dubbo,Inner Regional Australia,Sub-arterial Road,NSW_Dubbo_Far_West_and_Orana
VIC,Melbourne - West,Melton,Major Cities of Australia,Local Road,VIC_Melton_Melbourne___West
QLD,Gold Coast,Gold Coast,Major Cities of Australia,Local Road,QLD_Gold_Coast_Gold_Coast
