state,sa4Name,lgaName,nationalRemoteness,nationalRoadType,locationID
SA,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Local Road,SA_Adelaide_Hills_Adelaide___Central_and_Hills
VIC,Melbourne - South East,Monash,Major Cities of Australia,National or State Highway,VIC_Monash_Melbourne___South_East
VIC,Hume,Mansfield,Outer Regional Australia,Arterial Road,VIC_Mansfield_Hume
QLD,Townsville,Charters Towers,Very Remote Australia,National or State Highway,QLD_Charters_Towers_Townsville
NSW,Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Local Road,NSW_The_Hills_Sydney___Baulkham_Hills_and_Hawkesbury
NSW,Sydney - South West,Fairfield,Major Cities of Australia,Collector Road,NSW_Fairfield_Sydney___South_West
VIC,Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia,National or State Highway,VIC_Kingston_(Vic.)_Melbourne___Inner_South
NSW,Richmond - Tweed,Richmond Valley,Inner Regional Australia,Sub-arterial Road,NSW_Richmond_Valley_Richmond___Tweed
QLD,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,Sub-arterial Road,QLD_Toowoomba_Darling_Downs___Maranoa
NSW,Sydney - Parramatta,Parramatta,Major Cities of Australia,Arterial Road,NSW_Parramatta_Sydney___Parramatta
VIC,Ballarat,Ballarat,Inner Regional Australia,Local Road,VIC_Ballarat_Ballarat
NSW,Sydney - Sutherland,Sutherland,Inner Regional Australia,Arterial Road,NSW_Sutherland_Sydney___Sutherland
NSW,Central West,Mid-Western,Inner Regional Australia,Sub-arterial Road,NSW_Mid_Western_Central_West
VIC,Melbourne - North West,Hume,Major Cities of Australia,Arterial Road,VIC_Hume_Melbourne___North_West
NSW,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Arterial Road,NSW_Newcastle_Newcastle_and_Lake_Macquarie
QLD,Ipswich,Ipswich,Inner Regional Australia,National or State Highway,QLD_Ipswich_Ipswich
VIC,Melbourne - Inner South,Glen Eira,Major Cities of Australia,National or State Highway,VIC_Glen_Eira_Melbourne___Inner_South
VIC,Melbourne - South East,Monash,Major Cities of Australia,Local Road,VIC_Monash_Melbourne___South_East
QLD,Sunshine Coast,Sunshine Coast,Inner Regional Australia,Local Road,QLD_Sunshine_Coast_Sunshine_Coast
NSW,Central West,Cabonne,Outer Regional Australia,Sub-arterial Road,NSW_Cabonne_Central_West
VIC,Melbourne - North East,Nillumbik,Major Cities of Australia,Arterial Road,VIC_Nillumbik_Melbourne___North_East
VIC,North West,Yarriambiack,Remote Australia,National or State Highway,VIC_Yarriambiack_North_West
VIC,Bendigo,Greater Bendigo,Inner Regional Australia,Local Road,VIC_Greater_Bendigo_Bendigo
QLD,Wide Bay,South Burnett,Inner Regional Australia,National or State Highway,QLD_South_Burnett_Wide_Bay
VIC,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,National or State Highway,VIC_Latrobe_(Vic.)_Latrobe___Gippsland
VIC,North West,West Wimmera,Outer Regional Australia,Sub-arterial Road,VIC_West_Wimmera_North_West
VIC,Mornington Peninsula,Frankston,Major Cities of Australia,Collector Road,VIC_Frankston_Mornington_Peninsula
NSW,Sydney - South West,Fairfield,Major Cities of Australia,Arterial Road,NSW_Fairfield_Sydney___South_West
QLD,Ipswich,Brisbane,Major Cities of Australia,Sub-arterial Road,QLD_Brisbane_Ipswich
NSW,Sydney - North Sydney and Hornsby,Ku-ring-gai,Major Cities of Australia,National or State Highway,NSW_Ku_ring_gai_Sydney___North_Sydney_and_Hornsby
VIC,Melbourne - South East,Casey,Major Cities of Australia,Local Road,VIC_Casey_Melbourne___South_East
VIC,Ballarat,Pyrenees,Inner Regional Australia,National or State Highway,VIC_Pyrenees_Ballarat
NSW,Far West and Orana,Unincorporated NSW,Remote Australia,National or State Highway,NSW_Unincorporated_NSW_Far_West_and_Orana
TAS,Launceston and North East,Break O'Day,Outer Regional Australia,National or State Highway,TAS_Break_O'Day_Launceston_and_North_East
SA,Adelaide - South,Onkaparinga,Major Cities of Australia,Arterial Road,SA_Onkaparinga_Adelaide___South
NSW,Sydney - Inner South West,Strathfield,Major Cities of Australia,National or State Highway,NSW_Strathfield_Sydney___Inner_South_West
NSW,Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Collector Road,NSW_Bayside_(NSW)_Sydney___Inner_South_West
NSW,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,National or State Highway,NSW_Coffs_Harbour_Coffs_Harbour___Grafton
NSW,Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia,National or State Highway,NSW_Lake_Macquarie_Newcastle_and_Lake_Macquarie
VIC,Melbourne - South East,Cardinia,Major Cities of Australia,Sub-arterial Road,VIC_Cardinia_Melbourne___South_East
QLD,Wide Bay,Bundaberg,Outer Regional Australia,Sub-arterial Road,QLD_Bundaberg_Wide_Bay
QLD,Wide Bay,South Burnett,Outer Regional Australia,Sub-arterial Road,QLD_South_Burnett_Wide_Bay
VIC,Melbourne - West,Brimbank,Major Cities of Australia,National or State Highway,VIC_Brimbank_Melbourne___West
QLD,Brisbane Inner City,Brisbane,Major Cities of Australia,Local Road,QLD_Brisbane_Brisbane_Inner_City
SA,South Australia - South East,Mid Murray,Inner Regional Australia,Sub-arterial Road,SA_Mid_Murray_South_Australia___South_East
SA,South Australia - South East,Murray Bridge,Inner Regional Australia,Local Road,SA_Murray_Bridge_South_Australia___South_East
NSW,Richmond - Tweed,Tweed,Major Cities of Australia,National or State Highway,NSW_Tweed_Richmond___Tweed
NSW,Murray,Murray River,Outer Regional Australia,National or State Highway,NSW_Murray_River_Murray
VIC,Melbourne - South East,Casey,Major Cities of Australia,Collector Road,VIC_Casey_Melbourne___South_East
VIC,Shepparton,Greater Shepparton,Inner Regional Australia,National or State Highway,VIC_Greater_Shepparton_Shepparton
NSW,Sydney - Outer South West,Camden,Major Cities of Australia,Arterial Road,NSW_Camden_Sydney___Outer_South_West
NSW,Central West,Mid-Western,Outer Regional Australia,National or State Highway,NSW_Mid_Western_Central_West
TAS,Hobart,Glenorchy,Inner Regional Australia,Arterial Road,TAS_Glenorchy_Hobart
NSW,Sydney - Inner South West,Georges River,Major Cities of Australia,Collector Road,NSW_Georges_River_Sydney___Inner_South_West
QLD,Brisbane - North,Brisbane,Major Cities of Australia,Sub-arterial Road,QLD_Brisbane_Brisbane___North
NSW,Sydney - North Sydney and Hornsby,Hornsby,Major Cities of Australia,National or State Highway,NSW_Hornsby_Sydney___North_Sydney_and_Hornsby
QLD,Logan - Beaudesert,Scenic Rim,Inner Regional Australia,Collector Road,QLD_Scenic_Rim_Logan___Beaudesert
NSW,Sydney - Eastern Suburbs,Randwick,Major Cities of Australia,Local Road,NSW_Randwick_Sydney___Eastern_Suburbs
QLD,Wide Bay,Bundaberg,Outer Regional Australia,National or State Highway,QLD_Bundaberg_Wide_Bay
NSW,Sydney - Inner West,Strathfield,Major Cities of Australia,Arterial Road,NSW_Strathfield_Sydney___Inner_West
NSW,Richmond - Tweed,Richmond Valley,Inner Regional Australia,National or State Highway,NSW_Richmond_Valley_Richmond___Tweed
NSW,Sydney - Ryde,Hunters Hill,Major Cities of Australia,Local Road,NSW_Hunters_Hill_Sydney___Ryde
SA,South Australia - South East,Berri Barmera,Outer Regional Australia,Arterial Road,SA_Berri_Barmera_South_Australia___South_East
VIC,Hume,Wangaratta,Inner Regional Australia,Arterial Road,VIC_Wangaratta_Hume
NSW,Central West,Parkes,Outer Regional Australia,Arterial Road,NSW_Parkes_Central_West
NSW,Capital Region,Goulburn Mulwaree,Inner Regional Australia,Sub-arterial Road,NSW_Goulburn_Mulwaree_Capital_Region
NSW,New England and North West,Gunnedah,Outer Regional Australia,Sub-arterial Road,NSW_Gunnedah_New_England_and_North_West
NSW,Far West and Orana,Dubbo,Outer Regional Australia,National or State Highway,NSW_Dubbo_Far_West_and_Orana
QLD,Brisbane - North,Brisbane,Major Cities of Australia,Collector Road,QLD_Brisbane_Brisbane___North
QLD,Wide Bay,Gympie,Outer Regional Australia,National or State Highway,QLD_Gympie_Wide_Bay
NSW,Richmond - Tweed,Byron,Inner Regional Australia,Arterial Road,NSW_Byron_Richmond___Tweed
NSW,Far West and Orana,Cabonne,Outer Regional Australia,Sub-arterial Road,NSW_Cabonne_Far_West_and_Orana
VIC,Hume,Mansfield,Outer Regional Australia,Local Road,VIC_Mansfield_Hume
ACT,Australian Capital Territory,Unincorporated ACT,Inner Regional Australia,Collector Road,ACT_Unincorporated_ACT_Australian_Capital_Territory
VIC,Ballarat,Moorabool,Inner Regional Australia,National or State Highway,VIC_Moorabool_Ballarat
QLD,Mackay - Isaac - Whitsunday,Isaac,Outer Regional Australia,National or State Highway,QLD_Isaac_Mackay___Isaac___Whitsunday
NSW,Central West,Bathurst,Inner Regional Australia,Local Road,NSW_Bathurst_Central_West
NSW,Sydney - Eastern Suburbs,Randwick,Major Cities of Australia,Arterial Road,NSW_Randwick_Sydney___Eastern_Suburbs
NSW,New England and North West,Inverell,Outer Regional Australia,National or State Highway,NSW_Inverell_New_England_and_North_West
QLD,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,National or State Highway,QLD_Western_Downs_Darling_Downs___Maranoa
VIC,Hume,Mitchell,Inner Regional Australia,Sub-arterial Road,VIC_Mitchell_Hume
VIC,Hume,Benalla,Inner Regional Australia,Local Road,VIC_Benalla_Hume
NSW,Coffs Harbour - Grafton,Bellingen,Inner Regional Australia,Arterial Road,NSW_Bellingen_Coffs_Harbour___Grafton
TAS,Launceston and North East,Break O'Day,Outer Regional Australia,Arterial Road,TAS_Break_O'Day_Launceston_and_North_East
VIC,North West,Mildura,Outer Regional Australia,Local Road,VIC_Mildura_North_West
VIC,Latrobe - Gippsland,Wellington,Inner Regional Australia,National or State Highway,VIC_Wellington_Latrobe___Gippsland
QLD,Townsville,Burdekin,Outer Regional Australia,Local Road,QLD_Burdekin_Townsville
NSW,Central Coast,Central Coast (NSW),Inner Regional Australia,Arterial Road,NSW_Central_Coast_(NSW)_Central_Coast
NSW,Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Busway,NSW_The_Hills_Sydney___Baulkham_Hills_and_Hawkesbury
NSW,Murray,Edward River,Outer Regional Australia,Sub-arterial Road,NSW_Edward_River_Murray
SA,South Australia - South East,Coorong,Outer Regional Australia,Sub-arterial Road,SA_Coorong_South_Australia___South_East
QLD,Brisbane - East,Redland,Major Cities of Australia,Local Road,QLD_Redland_Brisbane___East
TAS,Launceston and North East,George Town,Outer Regional Australia,Arterial Road,TAS_George_Town_Launceston_and_North_East
VIC,Hume,Mitchell,Inner Regional Australia,National or State Highway,VIC_Mitchell_Hume
NSW,Richmond - Tweed,Richmond Valley,Inner Regional Australia,Local Road,NSW_Richmond_Valley_Richmond___Tweed
NSW,Sydney - Ryde,Ryde,Major Cities of Australia,Arterial Road,NSW_Ryde_Sydney___Ryde
VIC,Latrobe - Gippsland,Bass Coast,Inner Regional Australia,Sub-arterial Road,VIC_Bass_Coast_Latrobe___Gippsland
VIC,Latrobe - Gippsland,Wellington,Inner Regional Australia,Sub-arterial Road,VIC_Wellington_Latrobe___Gippsland
QLD,Queensland - Outback,Richmond,Very Remote Australia,National or State Highway,QLD_Richmond_Queensland___Outback
VIC,Latrobe - Gippsland,Baw Baw,Inner Regional Australia,Arterial Road,VIC_Baw_Baw_Latrobe___Gippsland
TAS,Launceston and North East,Northern Midlands,Outer Regional Australia,Arterial Road,TAS_Northern_Midlands_Launceston_and_North_East
NSW,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,Sub-arterial Road,NSW_Coffs_Harbour_Coffs_Harbour___Grafton
VIC,Hume,Strathbogie,Inner Regional Australia,Local Road,VIC_Strathbogie_Hume
NSW,Murray,Hay,Remote Australia,Sub-arterial Road,NSW_Hay_Murray
NSW,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,National or State Highway,NSW_Penrith_Sydney___Outer_West_and_Blue_Mountains
TAS,Launceston and North East,Dorset,Outer Regional Australia,Collector Road,TAS_Dorset_Launceston_and_North_East
NSW,Central West,Weddin,Outer Regional Australia,Arterial Road,NSW_Weddin_Central_West
VIC,Melbourne - West,Moorabool,Inner Regional Australia,National or State Highway,VIC_Moorabool_Melbourne___West
VIC,Melbourne - Outer East,Knox,Major Cities of Australia,Arterial Road,VIC_Knox_Melbourne___Outer_East
QLD,Central Queensland,Rockhampton,Inner Regional Australia,Access road,QLD_Rockhampton_Central_Queensland
VIC,North West,Buloke,Outer Regional Australia,Arterial Road,VIC_Buloke_North_West
VIC,Shepparton,Moira,Outer Regional Australia,Sub-arterial Road,VIC_Moira_Shepparton
NSW,Far West and Orana,Warrumbungle,Outer Regional Australia,National or State Highway,NSW_Warrumbungle_Far_West_and_Orana
QLD,Toowoomba,Lockyer Valley,Inner Regional Australia,Sub-arterial Road,QLD_Lockyer_Valley_Toowoomba
NSW,Central West,Lachlan,Outer Regional Australia,Arterial Road,NSW_Lachlan_Central_West
NSW,Sydney - Eastern Suburbs,Waverley,Major Cities of Australia,Local Road,NSW_Waverley_Sydney___Eastern_Suburbs
VIC,North West,Northern Grampians,Outer Regional Australia,Sub-arterial Road,VIC_Northern_Grampians_North_West
NSW,New England and North West,Gunnedah,Outer Regional Australia,National or State Highway,NSW_Gunnedah_New_England_and_North_West
VIC,Shepparton,Campaspe,Inner Regional Australia,Sub-arterial Road,VIC_Campaspe_Shepparton
VIC,Melbourne - Inner South,Glen Eira,Major Cities of Australia,Arterial Road,VIC_Glen_Eira_Melbourne___Inner_South
NSW,Hunter Valley exc Newcastle,Singleton,Inner Regional Australia,National or State Highway,NSW_Singleton_Hunter_Valley_exc_Newcastle
QLD,Wide Bay,Fraser Coast,Inner Regional Australia,Sub-arterial Road,QLD_Fraser_Coast_Wide_Bay
VIC,Melbourne - West,Melton,Major Cities of Australia,Arterial Road,VIC_Melton_Melbourne___West
QLD,Moreton Bay - North,Moreton Bay,Inner Regional Australia,Sub-arterial Road,QLD_Moreton_Bay_Moreton_Bay___North
QLD,Townsville,Charters Towers,Outer Regional Australia,Local Road,QLD_Charters_Towers_Townsville
QLD,Cairns,Mareeba,Outer Regional Australia,Local Road,QLD_Mareeba_Cairns
VIC,North West,Horsham,Outer Regional Australia,National or State Highway,VIC_Horsham_North_West
NSW,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,Local Road,NSW_Port_Macquarie_Hastings_Mid_North_Coast
SA,Adelaide - North,Adelaide Plains,Inner Regional Australia,Sub-arterial Road,SA_Adelaide_Plains_Adelaide___North
VIC,Melbourne - Inner,Stonnington,Major Cities of Australia,Collector Road,VIC_Stonnington_Melbourne___Inner
NSW,Sydney - Outer South West,Campbelltown (NSW),Major Cities of Australia,Arterial Road,NSW_Campbelltown_(NSW)_Sydney___Outer_South_West
VIC,Shepparton,Campaspe,Inner Regional Australia,Arterial Road,VIC_Campaspe_Shepparton
NSW,Central West,Cowra,Inner Regional Australia,National or State Highway,NSW_Cowra_Central_West
SA,Barossa - Yorke - Mid North,Mount Remarkable,Outer Regional Australia,Arterial Road,SA_Mount_Remarkable_Barossa___Yorke___Mid_North
NSW,Far West and Orana,Gilgandra,Outer Regional Australia,National or State Highway,NSW_Gilgandra_Far_West_and_Orana
QLD,Brisbane Inner City,Brisbane,Major Cities of Australia,National or State Highway,QLD_Brisbane_Brisbane_Inner_City
NSW,Sydney - South West,Liverpool,Major Cities of Australia,Collector Road,NSW_Liverpool_Sydney___South_West
SA,Barossa - Yorke - Mid North,Adelaide Plains,Inner Regional Australia,Local Road,SA_Adelaide_Plains_Barossa___Yorke___Mid_North
SA,South Australia - South East,Alexandrina,Inner Regional Australia,National or State Highway,SA_Alexandrina_South_Australia___South_East
NSW,Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,National or State Highway,NSW_Cessnock_Hunter_Valley_exc_Newcastle
NSW,Illawarra,Wollongong,Major Cities of Australia,Arterial Road,NSW_Wollongong_Illawarra
VIC,Hume,Murrindindi,Inner Regional Australia,Arterial Road,VIC_Murrindindi_Hume
QLD,Darling Downs - Maranoa,Goondiwindi,Outer Regional Australia,National or State Highway,QLD_Goondiwindi_Darling_Downs___Maranoa
NSW,Richmond - Tweed,Tweed,Major Cities of Australia,Arterial Road,NSW_Tweed_Richmond___Tweed
QLD,Wide Bay,South Burnett,Inner Regional Australia,Sub-arterial Road,QLD_South_Burnett_Wide_Bay
VIC,Latrobe - Gippsland,Wellington,Inner Regional Australia,Local Road,VIC_Wellington_Latrobe___Gippsland
QLD,Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,National or State Highway,QLD_Mackay_Mackay___Isaac___Whitsunday
SA,Adelaide - Central and Hills,Adelaide,Major Cities of Australia,Local Road,SA_Adelaide_Adelaide___Central_and_Hills
QLD,Logan - Beaudesert,Logan,Major Cities of Australia,National or State Highway,QLD_Logan_Logan___Beaudesert
VIC,Melbourne - North East,Mitchell,Inner Regional Australia,Arterial Road,VIC_Mitchell_Melbourne___North_East
QLD,Cairns,Cassowary Coast,Remote Australia,National or State Highway,QLD_Cassowary_Coast_Cairns
SA,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Outer Regional Australia,Local Road,SA_Clare_and_Gilbert_Valleys_Barossa___Yorke___Mid_North
NSW,Richmond - Tweed,Ballina,Inner Regional Australia,Local Road,NSW_Ballina_Richmond___Tweed
VIC,Melbourne - North West,Hume,Major Cities of Australia,Local Road,VIC_Hume_Melbourne___North_West
QLD,Townsville,Burdekin,Outer Regional Australia,Collector Road,QLD_Burdekin_Townsville
QLD,Brisbane - West,Brisbane,Major Cities of Australia,Collector Road,QLD_Brisbane_Brisbane___West
VIC,Latrobe - Gippsland,East Gippsland,Outer Regional Australia,Local Road,VIC_East_Gippsland_Latrobe___Gippsland
QLD,Moreton Bay - South,Moreton Bay,Inner Regional Australia,Local Road,QLD_Moreton_Bay_Moreton_Bay___South
SA,Adelaide - West,West Torrens,Major Cities of Australia,Sub-arterial Road,SA_West_Torrens_Adelaide___West
NSW,Far West and Orana,Warrumbungle,Outer Regional Australia,Sub-arterial Road,NSW_Warrumbungle_Far_West_and_Orana
VIC,North West,Yarriambiack,Outer Regional Australia,National or State Highway,VIC_Yarriambiack_North_West
VIC,Melbourne - South East,Cardinia,Inner Regional Australia,Arterial Road,VIC_Cardinia_Melbourne___South_East
NSW,New England and North West,Armidale,Inner Regional Australia,National or State Highway,NSW_Armidale_New_England_and_North_West
VIC,Melbourne - Inner South,Glen Eira,Major Cities of Australia,Local Road,VIC_Glen_Eira_Melbourne___Inner_South
NSW,Riverina,Snowy Valleys,Inner Regional Australia,National or State Highway,NSW_Snowy_Valleys_Riverina
QLD,Sunshine Coast,Sunshine Coast,Inner Regional Australia,Sub-arterial Road,QLD_Sunshine_Coast_Sunshine_Coast
VIC,Melbourne - North West,Macedon Ranges,Inner Regional Australia,Collector Road,VIC_Macedon_Ranges_Melbourne___North_West
NSW,New England and North West,Inverell,Outer Regional Australia,Access road,NSW_Inverell_New_England_and_North_West
VIC,Hume,Mitchell,Inner Regional Australia,Local Road,VIC_Mitchell_Hume
VIC,Melbourne - Outer East,Whitehorse,Major Cities of Australia,Collector Road,VIC_Whitehorse_Melbourne___Outer_East
QLD,Queensland - Outback,Cloncurry,Very Remote Australia,Sub-arterial Road,QLD_Cloncurry_Queensland___Outback
QLD,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Collector Road,QLD_Mackay_Mackay___Isaac___Whitsunday
NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Outer Regional Australia,Arterial Road,NSW_Hawkesbury_Sydney___Baulkham_Hills_and_Hawkesbury
VIC,Melbourne - South East,Greater Dandenong,Major Cities of Australia,Local Road,VIC_Greater_Dandenong_Melbourne___South_East
SA,Adelaide - North,Tea Tree Gully,Major Cities of Australia,Collector Road,SA_Tea_Tree_Gully_Adelaide___North
QLD,Darling Downs - Maranoa,Western Downs,Remote Australia,National or State Highway,QLD_Western_Downs_Darling_Downs___Maranoa
NSW,Sydney - South West,Penrith,Major Cities of Australia,Arterial Road,NSW_Penrith_Sydney___South_West
NSW,Illawarra,Kiama,Inner Regional Australia,Sub-arterial Road,NSW_Kiama_Illawarra
NSW,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,Local Road,NSW_Coffs_Harbour_Coffs_Harbour___Grafton
QLD,Brisbane - East,Redland,Outer Regional Australia,Collector Road,QLD_Redland_Brisbane___East
NSW,Sydney - South West,Liverpool,Major Cities of Australia,Sub-arterial Road,NSW_Liverpool_Sydney___South_West
NSW,Central West,Cowra,Inner Regional Australia,Arterial Road,NSW_Cowra_Central_West
NSW,Murray,Hay,Remote Australia,National or State Highway,NSW_Hay_Murray
VIC,Melbourne - Inner East,Boroondara,Major Cities of Australia,Sub-arterial Road,VIC_Boroondara_Melbourne___Inner_East
NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Major Cities of Australia,Arterial Road,NSW_Hawkesbury_Sydney___Baulkham_Hills_and_Hawkesbury
TAS,Hobart,Sorell,Inner Regional Australia,National or State Highway,TAS_Sorell_Hobart
VIC,Hume,Towong,Outer Regional Australia,Arterial Road,VIC_Towong_Hume
TAS,Hobart,Brighton,Inner Regional Australia,Sub-arterial Road,TAS_Brighton_Hobart
SA,South Australia - South East,Grant,Outer Regional Australia,Collector Road,SA_Grant_South_Australia___South_East
VIC,Melbourne - Inner,Port Phillip,Major Cities of Australia,National or State Highway,VIC_Port_Phillip_Melbourne___Inner
VIC,Ballarat,Hepburn,Inner Regional Australia,Arterial Road,VIC_Hepburn_Ballarat
QLD,Central Queensland,Central Highlands (Qld),Outer Regional Australia,National or State Highway,QLD_Central_Highlands_(Qld)_Central_Queensland
NSW,Illawarra,Shellharbour,Major Cities of Australia,National or State Highway,NSW_Shellharbour_Illawarra
NSW,Sydney - Ryde,Ryde,Major Cities of Australia,Local Road,NSW_Ryde_Sydney___Ryde
VIC,Melbourne - Outer East,Knox,Major Cities of Australia,Pedestrian Thoroughfare,VIC_Knox_Melbourne___Outer_East
NSW,Murray,Murray River,Outer Regional Australia,Arterial Road,NSW_Murray_River_Murray
QLD,Toowoomba,Toowoomba,Inner Regional Australia,Sub-arterial Road,QLD_Toowoomba_Toowoomba
NSW,Sydney - Outer South West,Wollondilly,Inner Regional Australia,Sub-arterial Road,NSW_Wollondilly_Sydney___Outer_South_West
VIC,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Sub-arterial Road,VIC_Mornington_Peninsula_Mornington_Peninsula
QLD,Townsville,Charters Towers,Remote Australia,National or State Highway,QLD_Charters_Towers_Townsville
NSW,Central West,Blayney,Outer Regional Australia,Sub-arterial Road,NSW_Blayney_Central_West
QLD,Gold Coast,Gold Coast,Major Cities of Australia,Pedestrian Thoroughfare,QLD_Gold_Coast_Gold_Coast
NSW,Capital Region,Hilltops,Outer Regional Australia,Sub-arterial Road,NSW_Hilltops_Capital_Region
VIC,Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia,Arterial Road,VIC_Kingston_(Vic.)_Melbourne___Inner_South
NSW,Sydney - City and Inner South,Sydney,Major Cities of Australia,Arterial Road,NSW_Sydney_Sydney___City_and_Inner_South
QLD,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Local Road,QLD_Mackay_Mackay___Isaac___Whitsunday
NSW,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Collector Road,NSW_Shoalhaven_Southern_Highlands_and_Shoalhaven
ACT,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,National or State Highway,ACT_Unincorporated_ACT_Australian_Capital_Territory
SA,Adelaide - North,Playford,Major Cities of Australia,Sub-arterial Road,SA_Playford_Adelaide___North
QLD,Ipswich,Lockyer Valley,Inner Regional Australia,National or State Highway,QLD_Lockyer_Valley_Ipswich
QLD,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,Collector Road,QLD_Southern_Downs_Darling_Downs___Maranoa
TAS,West and North West,Circular Head,Remote Australia,National or State Highway,TAS_Circular_Head_West_and_North_West
NSW,Sydney - South West,Liverpool,Major Cities of Australia,Local Road,NSW_Liverpool_Sydney___South_West
VIC,North West,Swan Hill,Outer Regional Australia,Arterial Road,VIC_Swan_Hill_North_West
NSW,Riverina,Murrumbidgee,Outer Regional Australia,National or State Highway,NSW_Murrumbidgee_Riverina
VIC,Hume,Towong,Outer Regional Australia,National or State Highway,VIC_Towong_Hume
NSW,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Arterial Road,NSW_Wingecarribee_Southern_Highlands_and_Shoalhaven
QLD,Ipswich,Scenic Rim,Inner Regional Australia,Local Road,QLD_Scenic_Rim_Ipswich
SA,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Outer Regional Australia,Collector Road,SA_Clare_and_Gilbert_Valleys_Barossa___Yorke___Mid_North
VIC,Geelong,Greater Geelong,Major Cities of Australia,Local Road,VIC_Greater_Geelong_Geelong
NSW,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Collector Road,NSW_Maitland_Hunter_Valley_exc_Newcastle
NSW,Capital Region,Upper Lachlan,Outer Regional Australia,Arterial Road,NSW_Upper_Lachlan_Capital_Region
NSW,Central West,Orange,Inner Regional Australia,Local Road,NSW_Orange_Central_West
QLD,Moreton Bay - North,Moreton Bay,Major Cities of Australia,National or State Highway,QLD_Moreton_Bay_Moreton_Bay___North
TAS,Launceston and North East,Launceston,Inner Regional Australia,Local Road,TAS_Launceston_Launceston_and_North_East
VIC,Melbourne - South East,Kingston (Vic.),Major Cities of Australia,Arterial Road,VIC_Kingston_(Vic.)_Melbourne___South_East
VIC,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Arterial Road,VIC_Yarra_Ranges_Melbourne___Outer_East
QLD,Gold Coast,Gold Coast,Major Cities of Australia,National or State Highway,QLD_Gold_Coast_Gold_Coast
NSW,Central West,Cowra,Outer Regional Australia,National or State Highway,NSW_Cowra_Central_West
SA,Adelaide - Central and Hills,Walkerville,Major Cities of Australia,Local Road,SA_Walkerville_Adelaide___Central_and_Hills
NSW,Sydney - City and Inner South,Bayside (NSW),Major Cities of Australia,Arterial Road,NSW_Bayside_(NSW)_Sydney___City_and_Inner_South
NSW,Illawarra,Sutherland,Inner Regional Australia,Arterial Road,NSW_Sutherland_Illawarra
VIC,Melbourne - Inner East,Whitehorse,Major Cities of Australia,Local Road,VIC_Whitehorse_Melbourne___Inner_East
VIC,Hume,Strathbogie,Inner Regional Australia,Arterial Road,VIC_Strathbogie_Hume
SA,Adelaide - Central and Hills,Adelaide,Major Cities of Australia,Arterial Road,SA_Adelaide_Adelaide___Central_and_Hills
QLD,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Sub-arterial Road,QLD_Southern_Downs_Darling_Downs___Maranoa
QLD,Wide Bay,Gympie,Inner Regional Australia,Sub-arterial Road,QLD_Gympie_Wide_Bay
NSW,Murray,Wentworth,Remote Australia,Arterial Road,NSW_Wentworth_Murray
TAS,South East,Tasman,Outer Regional Australia,National or State Highway,TAS_Tasman_South_East
TAS,West and North West,Latrobe (Tas.),Outer Regional Australia,National or State Highway,TAS_Latrobe_(Tas.)_West_and_North_West
QLD,Central Queensland,Rockhampton,Outer Regional Australia,Local Road,QLD_Rockhampton_Central_Queensland
VIC,Melbourne - Inner East,Manningham,Major Cities of Australia,Local Road,VIC_Manningham_Melbourne___Inner_East
QLD,Ipswich,Ipswich,Major Cities of Australia,Collector Road,QLD_Ipswich_Ipswich
QLD,Wide Bay,Gympie,Inner Regional Australia,National or State Highway,QLD_Gympie_Wide_Bay
SA,South Australia - Outback,Port Augusta,Outer Regional Australia,National or State Highway,SA_Port_Augusta_South_Australia___Outback
