crashID,locationID
20246027,TAS_Hobart_Hobart
20244072,SA_Mitcham_Adelaide___South
20241195,NSW_Clarence_Valley_Coffs_Harbour___Grafton
20244043,SA_Adelaide_Adelaide___Central_and_Hills
20241102,NSW_Penrith_Sydney___Outer_West_and_Blue_Mountains
20243194,QLD_Brisbane_Brisbane___South
20243070,QLD_Brisbane_Brisbane___South
20243165,QLD_Moreton_Bay_Moreton_Bay___North
20241063,NSW_Central_Coast_(NSW)_Central_Coast
20241132,NSW_Wollongong_Illawarra
20241292,NSW_Central_Coast_(NSW)_Central_Coast
20241189,NSW_Lismore_Richmond___Tweed
20241233,NSW_Narromine_Far_West_and_Orana
20242115,VIC_Greater_Shepparton_Shepparton
20242167,VIC_Merri_bek_Melbourne___North_West
20241016,NSW_Narrandera_Riverina
20243234,QLD_Logan_Logan___Beaudesert
20246025,TAS_Huon_Valley_South_East
20241220,NSW_Cessnock_Hunter_Valley_exc_Newcastle
20241034,NSW_Griffith_Riverina
20242012,VIC_Wodonga_Hume
20243009,QLD_Sunshine_Coast_Sunshine_Coast
20241269,NSW_Mid_Coast_Hunter_Valley_exc_Newcastle
20242093,VIC_Darebin_Melbourne___Inner
20242176,VIC_Murrindindi_Hume
20242255,VIC_Ballarat_Ballarat
20241066,NSW_Wingecarribee_Southern_Highlands_and_Shoalhaven
20242175,VIC_Cardinia_Melbourne___South_East
20243207,QLD_Rockhampton_Central_Queensland
20242029,VIC_Maroondah_Melbourne___Outer_East
20241246,NSW_Albury_Murray
20241078,NSW_Tweed_Richmond___Tweed
20243064,QLD_North_Burnett_Wide_Bay
20241013,NSW_Moree_Plains_New_England_and_North_West
20246019,TAS_Huon_Valley_South_East
20242257,VIC_Mornington_Peninsula_Mornington_Peninsula
20241138,NSW_Fairfield_Sydney___South_West
20244014,SA_Unley_Adelaide___Central_and_Hills
20244069,SA_Alexandrina_South_Australia___South_East
20242053,VIC_Yarra_Ranges_Melbourne___Outer_East
20243111,QLD_Whitsunday_Mackay___Isaac___Whitsunday
20243067,QLD_Gympie_Wide_Bay
20242186,VIC_Melton_Melbourne___West
20242250,VIC_Frankston_Mornington_Peninsula
20243167,QLD_Burdekin_Townsville
20243106,QLD_Brisbane_Brisbane___South
20242098,VIC_Knox_Melbourne___Outer_East
20241179,NSW_Mid_Coast_Mid_North_Coast
20242070,VIC_Whittlesea_Melbourne___North_East
20243261,QLD_Mareeba_Queensland___Outback
20243227,QLD_Western_Downs_Darling_Downs___Maranoa
20242243,VIC_Yarra_Ranges_Melbourne___Outer_East
20242102,VIC_Monash_Melbourne___South_East
20241109,NSW_Unincorporated_NSW_Far_West_and_Orana
20243187,QLD_South_Burnett_Wide_Bay
20241301,NSW_Blacktown_Sydney___Blacktown
20243135,QLD_Western_Downs_Darling_Downs___Maranoa
20241248,NSW_Cumberland_Sydney___Parramatta
20243268,QLD_Barcaldine_Queensland___Outback
20242071,VIC_Wyndham_Melbourne___West
20241020,NSW_Glen_Innes_Severn_New_England_and_North_West
20241294,NSW_Lismore_Richmond___Tweed
20241304,NSW_Ballina_Richmond___Tweed
20242123,VIC_Yarra_Ranges_Melbourne___Outer_East
20242144,VIC_Yarra_Ranges_Melbourne___Outer_East
20241199,NSW_Northern_Beaches_Sydney___Northern_Beaches
20243066,QLD_Townsville_Townsville
20243233,QLD_Gladstone_Central_Queensland
20243203,QLD_Livingstone_Central_Queensland
20242209,VIC_Greater_Shepparton_Shepparton
20242056,VIC_Yarra_Ranges_Melbourne___Outer_East
20242130,VIC_Golden_Plains_Ballarat
20243109,QLD_Cassowary_Coast_Cairns
20243010,QLD_Cook_Queensland___Outback
20243181,QLD_Ipswich_Ipswich
20246018,TAS_Clarence_Hobart
20241071,NSW_Georges_River_Sydney___Inner_South_West
20241186,NSW_Lithgow_Central_West
20243078,QLD_Logan_Logan___Beaudesert
20241223,NSW_Wollongong_Illawarra
20241221,NSW_Maitland_Hunter_Valley_exc_Newcastle
20241143,NSW_Greater_Hume_Murray
20243242,QLD_Western_Downs_Darling_Downs___Maranoa
20242189,VIC_Kingston_(Vic.)_Melbourne___South_East
20242170,VIC_Manningham_Melbourne___Inner_East
20243043,QLD_Sunshine_Coast_Sunshine_Coast
20241140,NSW_Bathurst_Central_West
20244063,SA_Wudinna_South_Australia___Outback
20241131,NSW_Inverell_New_England_and_North_West
20242172,VIC_Brimbank_Melbourne___West
20241111,NSW_Maitland_Hunter_Valley_exc_Newcastle
20242055,VIC_Darebin_Melbourne___North_East
20241017,NSW_Penrith_Sydney___Outer_West_and_Blue_Mountains
20244067,SA_Charles_Sturt_Adelaide___West
20246024,TAS_Flinders_(Tas.)_Launceston_and_North_East
20241254,NSW_Mid_Coast_Mid_North_Coast
20243011,QLD_Scenic_Rim_Ipswich
20246011,TAS_Burnie_West_and_North_West
20242177,VIC_Mornington_Peninsula_Mornington_Peninsula
20241127,NSW_Armidale_New_England_and_North_West
20241210,NSW_Tamworth_New_England_and_North_West
20242132,VIC_Greater_Shepparton_Shepparton
20242184,VIC_Ballarat_Ballarat
20241253,NSW_Dubbo_Far_West_and_Orana
20243024,QLD_Sunshine_Coast_Sunshine_Coast
20242224,VIC_Melton_Melbourne___West
20243031,QLD_Gold_Coast_Gold_Coast
20242069,VIC_Darebin_Melbourne___North_East
20243156,QLD_Ipswich_Ipswich
20242251,VIC_Greater_Geelong_Geelong
20244034,SA_Adelaide_Hills_Adelaide___Central_and_Hills
20242090,VIC_Cardinia_Melbourne___South_East
20243231,QLD_Whitsunday_Mackay___Isaac___Whitsunday
20242194,VIC_Mitchell_Hume
20243142,QLD_North_Burnett_Wide_Bay
20242043,VIC_Wyndham_Melbourne___West
20243124,QLD_Mackay_Mackay___Isaac___Whitsunday
20244007,SA_Onkaparinga_Adelaide___South
20242060,VIC_Stonnington_Melbourne___Inner_South
20243104,QLD_Douglas_Cairns
20244041,SA_Unincorporated_SA_South_Australia___Outback
20246026,TAS_Launceston_Launceston_and_North_East
20243021,QLD_Gladstone_Central_Queensland
20242155,VIC_Indigo_Hume
20242032,VIC_Yarra_Melbourne___Inner
20241285,NSW_Canterbury_Bankstown_Sydney___Inner_South_West
20244066,SA_Wakefield_Barossa___Yorke___Mid_North
20242064,VIC_Port_Phillip_Melbourne___Inner
20242164,VIC_Cardinia_Melbourne___South_East
20244035,SA_Yankalilla_South_Australia___South_East
20243018,QLD_Logan_Logan___Beaudesert
20242086,VIC_Frankston_Mornington_Peninsula
20243217,QLD_Cassowary_Coast_Cairns
20243251,QLD_Scenic_Rim_Ipswich
20243058,QLD_Gladstone_Central_Queensland
20244046,SA_Yankalilla_South_Australia___South_East
20243085,QLD_Rockhampton_Central_Queensland
20244039,SA_Light_Barossa___Yorke___Mid_North
20243240,QLD_Mackay_Mackay___Isaac___Whitsunday
20246002,TAS_Waratah_Wynyard_West_and_North_West
20242099,VIC_Campaspe_Shepparton
20243063,QLD_Logan_Logan___Beaudesert
20241176,NSW_Wollongong_Illawarra
20247022,NT_Barkly_Northern_Territory___Outback
20241086,NSW_Port_Stephens_Newcastle_and_Lake_Macquarie
20241224,NSW_Port_Stephens_Hunter_Valley_exc_Newcastle
20241265,NSW_Blacktown_Sydney___Parramatta
20241202,NSW_Inverell_New_England_and_North_West
20246023,TAS_Clarence_Hobart
20241293,NSW_Forbes_Central_West
20241299,NSW_Blayney_Central_West
20244078,SA_Campbelltown_(SA)_Adelaide___Central_and_Hills
20243164,QLD_Gold_Coast_Gold_Coast
20242201,VIC_Latrobe_(Vic.)_Latrobe___Gippsland
20241307,NSW_Lithgow_Central_West
20242074,VIC_Surf_Coast_Geelong
20241243,NSW_Moree_Plains_New_England_and_North_West
