crash_id,vehicle_id
20232214,0
20231150,0
20233093,0
20231109,0
20233247,1
20232224,0
20232069,0
20232004,0
20233066,0
20231101,1
20232190,0
20233001,1
20232025,0
20231289,1
20233045,0
20231036,0
20233223,0
20231264,0
20233249,3
20232256,0
20231035,0
20231159,0
20232215,0
20232031,0
20231242,0
20231046,0
20231087,3
20236007,0
20231070,0
20231201,3
20233234,0
20233209,0
20233094,0
20231200,0
20232257,0
20231146,0
20231028,0
20233029,0
20233254,0
20233241,0
20231089,3
20233180,0
20233193,0
20232225,0
20231027,0
20231180,0
20231156,0
20231092,0
20231162,0
20236017,0
20233117,0
20233119,1
20233123,1
20234036,0
20232153,0
20233152,0
20232138,3
20234011,0
20233105,1
20232258,0
20233232,1
20231204,1
20234071,0
20231259,0
20232210,1
20233181,0
20232087,0
20237005,0
20232131,0
20233135,1
20231153,0
20236005,0
20232068,0
20232007,0
20233102,0
20233005,1
20231291,3
20234038,0
20232057,0
20233252,1
20233213,0
20232143,0
20234012,0
20231207,0
20233013,0
20231221,1
20233211,3
20231210,0
20233108,0
20231090,3
20232127,0
20232017,0
20233016,0
20233004,0
20231053,0
20234010,0
20233163,0
20233237,0
20233097,0
20231007,0
20231135,1
20233222,0
20234082,0
20233095,0
20231034,0
20232186,0
20237001,0
20231008,0
20233006,0
20231040,0
20231075,0
20233140,1
20233185,0
20232034,0
20232133,0
20232173,0
20234080,0
20234106,0
20233019,0
20232232,0
20233038,0
20232199,0
20232231,0
20231071,0
20231113,1
20232157,3
20234091,3
20233201,0
20231042,0
20231225,0
20231147,0
20234004,0
20238003,0
20231073,0
20234015,0
20231280,3
20231047,0
20231083,0
20232247,0
20232145,1
20233109,0
20234045,0
20232222,0
20231294,0
20231039,0
20231127,0
20231184,0
20232216,0
20233087,0
20233022,0
20232020,0
20236014,0
20232006,0
20233142,0
20231268,0
20231183,1
20231258,0
20232147,3
20234016,0
20233132,3
20233018,3
20233206,0
20232050,3
20231100,0
20234085,0
20231037,0
20231218,0
20233233,3
20233238,0
20232218,0
20231177,0
20233002,0
20232202,0
20231051,4
20231126,0
20233160,0
20233103,0
20232187,1
