crashID,crashType,articulatedTruckInvolvement,busInvolvement,heavyRigidTruckInvolvement,vehicleID
20242098,Single,No,No,No,V302
20241179,Single,No,No,No,V303
20242070,Single,No,No,No,V304
20243261,Single,Yes,No,No,V305
20243227,Single,No,No,No,V306
20242243,Single,No,No,No,V307
20242102,Single,No,No,No,V308
20241109,Single,No,No,No,V309
20243187,Single,No,No,No,V310
20241301,Single,No,No,No,V311
20243135,Single,No,No,Yes,V312
20241248,Single,No,No,No,V313
20243268,Single,No,No,No,V314
20242071,Single,No,No,No,V315
20241020,Single,No,No,No,V316
20241294,Single,No,No,No,V317
20241304,Single,No,No,No,V318
20242123,Single,No,No,No,V319
20242144,Single,No,No,No,V320
20241199,Multiple,No,No,No,V321
20241199,Multiple,No,No,No,V322
20243066,Single,No,No,No,V323
20243233,Single,Yes,No,No,V324
20243203,Single,No,No,No,V325
20242209,Single,No,No,No,V326
20242056,Single,No,No,No,V327
20242130,Single,No,No,No,V328
20243109,Multiple,No,No,No,V329
20243109,Multiple,No,No,No,V330
20243010,Single,No,No,No,V331
20243181,Single,No,No,No,V332
20246018,Single,Yes,No,Yes,V333
20241071,Single,No,No,No,V334
20241186,Single,No,No,No,V335
20243078,Single,No,No,No,V336
20241223,Single,No,No,No,V337
20241221,Single,No,No,No,V338
20241143,Single,No,No,No,V339
20243242,Single,No,No,No,V340
20242189,Single,No,No,No,V341
20242170,Single,No,No,Yes,V342
20243043,Single,No,No,Yes,V343
20241140,Single,No,No,No,V344
20244063,Single,No,No,No,V345
20241131,Single,No,No,No,V346
20242172,Single,No,No,No,V347
20241111,Single,No,No,No,V348
20242055,Single,No,No,No,V349
20241017,Single,No,No,No,V350
20244067,Single,No,No,No,V351
20246024,Single,No,No,No,V352
20241254,Multiple,No,No,No,V353
20241254,Multiple,No,No,No,V354
20243011,Single,No,No,No,V355
20246011,Single,No,No,No,V356
20242177,Single,No,No,No,V357
20241127,Single,No,No,No,V358
20241210,Single,No,No,No,V359
20242132,Multiple,No,No,No,V360
20242132,Multiple,No,No,No,V361
20242184,Single,No,No,No,V362
20241253,Single,No,No,No,V363
20243024,Single,No,No,No,V364
20242224,Single,No,No,No,V365
20243031,Single,No,No,No,V366
20242069,Single,No,No,No,V367
20243156,Single,No,No,No,V368
20242251,Single,No,No,No,V369
20244034,Single,No,No,No,V370
20242090,Single,No,No,No,V371
20243231,Multiple,No,No,No,V372
20243231,Multiple,No,No,No,V373
20243231,Multiple,No,No,No,V374
20242194,Single,No,No,No,V375
20243142,Single,No,No,No,V376
20242043,Single,No,No,Yes,V377
20243124,Single,No,No,Yes,V378
20244007,Single,No,No,No,V379
20242060,Single,No,No,No,V380
20243104,Single,No,No,No,V381
20244041,Single,No,No,No,V382
20246026,Single,No,No,No,V383
20243021,Single,Yes,No,No,V384
20242155,Single,No,No,No,V385
20242032,Single,No,No,Yes,V386
20241285,Single,No,No,No,V387
20244066,Single,No,No,No,V388
20242064,Single,No,No,No,V389
20242164,Single,No,No,No,V390
20244035,Single,No,No,No,V391
20243018,Single,No,No,No,V392
20242086,Single,No,No,No,V393
20243217,Single,No,No,Yes,V394
20243251,Single,Yes,No,No,V395
20243058,Single,No,No,No,V396
20244046,Single,No,No,No,V397
20243085,Single,No,No,No,V398
20244039,Single,No,No,No,V399
20243240,Single,No,No,No,V400
20246002,Multiple,No,No,No,V401
20246002,Multiple,No,No,No,V402
20242099,Multiple,No,No,No,V403
20242099,Multiple,No,No,No,V404
20243063,Single,No,No,No,V405
20241176,Single,No,No,No,V406
20247022,Single,No,No,Yes,V407
20241086,Single,No,No,No,V408
20241224,Single,No,No,No,V409
20241265,Single,No,No,No,V410
20241202,Single,No,No,No,V411
20246023,Single,Yes,No,Yes,V412
20241293,Single,Yes,No,No,V413
20241299,Single,No,No,No,V414
20244078,Single,No,No,No,V415
20243164,Single,No,No,Yes,V416
20242201,Single,No,No,No,V417
20241307,Single,No,No,No,V418
20242074,Multiple,No,No,No,V419
20242074,Multiple,No,No,No,V420
20241243,Multiple,Yes,No,No,V421
20241243,Multiple,Yes,No,No,V422
20247034,Single,No,No,No,V423
20241260,Single,No,No,No,V424
20243004,Single,No,No,No,V425
20246014,Multiple,No,No,No,V426
20246014,Multiple,No,No,No,V427
20242024,Single,Yes,No,No,V428
20243169,Single,No,No,No,V429
20243081,Multiple,No,No,No,V430
20243081,Multiple,No,No,No,V431
20242169,Single,No,No,No,V432
20241110,Single,No,No,No,V433
20241082,Single,No,No,No,V434
20241159,Single,No,No,No,V435
20246022,Single,No,No,No,V436
20241229,Single,No,No,No,V437
20242026,Single,No,No,No,V438
20242268,Single,No,No,Yes,V439
20242238,Single,No,No,No,V440
20242122,Single,No,No,No,V441
20241046,Multiple,No,No,No,V442
20241046,Multiple,No,No,No,V443
20241046,Multiple,No,No,No,V444
20243192,Single,No,No,No,V445
20241032,Multiple,No,No,No,V446
20241032,Multiple,No,No,No,V447
20241031,Single,No,No,No,V448
20243254,Single,No,No,No,V449
20243133,Single,No,No,No,V450
20241203,Single,No,No,No,V451
20243118,Single,No,No,No,V452
20243173,Single,No,No,No,V453
20243199,Single,No,No,No,V454
20244003,Single,No,No,No,V455
20241298,Single,Yes,No,No,V456
20242112,Multiple,No,No,No,V457
20242112,Multiple,No,No,No,V458
20243092,Single,No,No,Yes,V459
20243042,Single,No,No,No,V460
20244005,Single,No,No,No,V461
20243178,Single,No,No,No,V462
20244050,Single,No,No,No,V463
20241208,Single,Yes,No,No,V464
20242259,Single,Yes,No,No,V465
20242212,Single,No,No,No,V466
20243019,Single,No,No,No,V467
20241036,Single,No,No,No,V468
20242226,Single,No,No,No,V469
20247007,Single,No,No,No,V470
20243074,Single,No,Yes,No,V471
20241003,Single,No,No,No,V472
20241277,Single,No,No,No,V473
20241249,Single,No,No,No,V474
20242020,Single,No,No,No,V475
20242108,Single,No,No,No,V476
20243120,Single,Yes,No,No,V477
20242187,Single,No,No,No,V478
20243116,Multiple,Yes,No,No,V479
20243116,Multiple,Yes,No,No,V480
20242133,Single,No,No,No,V481
20241092,Single,No,No,No,V482
20242121,Single,No,No,No,V483
20243214,Single,Yes,No,No,V484
20241118,Single,No,No,No,V485
20243157,Single,No,No,No,V486
20241190,Single,Yes,No,No,V487
20241097,Single,No,No,No,V488
20242265,Multiple,No,No,No,V489
20242265,Multiple,No,No,No,V490
20241250,Single,No,No,No,V491
20242200,Single,No,No,Yes,V492
20242234,Single,No,No,No,V493
20242048,Single,No,No,No,V494
20242003,Single,No,No,No,V495
20243252,Multiple,No,No,No,V496
20243252,Multiple,No,No,No,V497
20243061,Single,No,No,No,V498
20242162,Single,No,No,No,V499
20244071,Single,No,No,No,V500
20241047,Single,No,No,No,V501
20241205,Single,No,No,No,V502
20241024,Single,No,No,No,V503
20242096,Single,No,No,No,V504
20242240,Single,No,No,No,V505
20243139,Single,No,Yes,No,V506
20243075,Single,No,No,No,V507
20244051,Single,No,No,No,V508
20241070,Single,No,No,No,V509
20244079,Single,No,No,No,V510
20243051,Multiple,No,No,No,V511
20243051,Multiple,No,No,No,V512
20243051,Multiple,No,No,No,V513
20242237,Single,No,No,No,V514
20243148,Single,No,No,No,V515
20242157,Single,No,No,No,V516
20244022,Single,No,No,No,V517
20241142,Single,No,No,No,V518
20241124,Single,No,No,No,V519
20241010,Single,Yes,No,Yes,V520
20241252,Single,No,No,No,V521
20243155,Single,No,No,No,V522
20243163,Single,No,No,No,V523
20243269,Single,No,No,No,V524
20243056,Single,No,No,No,V525
20243049,Single,No,No,No,V526
20243103,Single,No,No,No,V527
20242233,Single,No,No,No,V528
20243014,Single,No,No,No,V529
20241198,Single,No,No,No,V530
20242249,Single,No,No,No,V531
20243154,Multiple,No,Yes,No,V532
20243154,Multiple,No,Yes,No,V533
20243154,Multiple,No,Yes,No,V534
20241100,Single,No,No,No,V535
20241074,Single,No,No,No,V536
20243263,Single,Yes,No,No,V537
20242016,Single,No,No,No,V538
20244017,Single,No,No,No,V539
20244009,Single,No,No,No,V540
20242085,Single,No,No,No,V541
20244012,Single,No,No,No,V542
20243205,Single,No,No,No,V543
20241035,Single,No,No,No,V544
20241161,Single,No,No,No,V545
20241062,Single,No,No,No,V546
20243119,Single,No,No,No,V547
20241155,Single,No,No,No,V548
20243152,Single,No,No,No,V549
20243053,Single,Yes,No,No,V550
20241039,Single,No,No,No,V551
20242154,Multiple,No,No,No,V552
20242154,Multiple,No,No,No,V553
20243215,Single,No,No,No,V554
20243026,Single,No,No,No,V555
20241050,Single,No,No,Yes,V556
20243271,Single,Yes,No,No,V557
20241133,Single,No,No,No,V558
20248008,Single,No,No,Yes,V559
20244037,Single,No,No,No,V560
20242143,Single,No,No,No,V561
20241273,Single,No,No,No,V562
20242067,Single,No,No,No,V563
20242214,Single,No,No,No,V564
20243238,Single,No,No,No,V565
20242011,Single,No,No,No,V566
20241180,Single,No,No,No,V567
20241059,Single,No,No,No,V568
20241021,Single,No,No,No,V569
20242254,Single,No,No,No,V570
20243256,Single,No,No,Yes,V571
20241245,Single,No,No,No,V572
20243126,Single,No,No,No,V573
20244082,Multiple,No,No,No,V574
20244082,Multiple,No,No,No,V575
20241108,Single,No,No,No,V576
20242137,Single,No,No,No,V577
20241005,Single,No,No,No,V578
20241051,Single,No,No,No,V579
20243128,Single,No,No,No,V580
20242109,Single,No,No,No,V581
20241116,Single,No,No,No,V582
20243226,Single,No,No,No,V583
20242092,Single,No,No,No,V584
20242125,Single,No,No,No,V585
20244077,Single,No,No,No,V586
20242049,Single,No,No,No,V587
20243265,Single,No,No,No,V588
20243122,Single,No,No,No,V589
20243151,Single,No,No,No,V590
20241283,Single,No,No,No,V591
20242262,Single,No,No,No,V592
20242100,Single,No,No,No,V593
20242211,Single,No,No,No,V594
20241168,Multiple,No,No,No,V595
20241168,Multiple,No,No,No,V596
20241162,Multiple,No,No,No,V597
20241162,Multiple,No,No,No,V598
20241073,Single,No,No,No,V599
20243097,Multiple,Yes,No,No,V600
20243097,Multiple,Yes,No,No,V601
20243097,Multiple,Yes,No,No,V602
20242182,Single,Yes,No,No,V603
20243123,Single,No,No,No,V604
20242044,Single,No,No,No,V605
20241120,Single,Yes,No,No,V606
20242266,Single,No,No,No,V607
20241048,Single,No,No,No,V608
20243023,Single,No,No,No,V609
20243137,Single,No,No,Yes,V610
20241200,Single,No,No,No,V611
20242151,Multiple,No,No,No,V612
20242151,Multiple,No,No,No,V613
20242223,Single,Yes,No,No,V614
20241259,Single,No,No,No,V615
20241264,Single,No,No,No,V616
20243086,Single,No,No,No,V617
20242215,Single,No,No,No,V618
20246012,Single,No,No,No,V619
20244068,Single,No,No,No,V620
20241296,Single,No,No,No,V621
20241006,Multiple,No,No,No,V622
20241006,Multiple,No,No,No,V623
20241258,Single,No,No,No,V624
20241290,Multiple,No,No,No,V625
20241056,Single,No,No,No,V626
20241290,Multiple,No,No,No,V627
20242014,Single,No,No,No,V628
20241251,Single,No,No,No,V629
20243076,Single,No,No,No,V630
20243162,Single,No,No,No,V631
20242027,Single,No,No,No,V632
20243029,Multiple,No,No,No,V633
20243029,Multiple,No,No,No,V634
20242179,Single,No,No,No,V635
20244080,Single,No,No,No,V636
20242241,Single,No,No,No,V637
20244047,Single,No,No,No,V638
20241041,Single,No,No,No,V639
20241165,Single,No,No,No,V640
20242077,Single,No,No,No,V641
20242078,Single,No,No,No,V642
20242017,Single,No,No,No,V643
20243223,Single,No,No,No,V644
20241271,Single,No,No,Yes,V645
20242217,Single,No,No,No,V646
20242245,Single,No,No,No,V647
20241170,Single,No,No,No,V648
20242199,Single,No,No,No,V649
20241177,Single,No,No,No,V650
20246015,Single,No,No,No,V651
20242165,Single,No,No,No,V652
20241011,Single,No,No,No,V653
20243260,Multiple,No,No,No,V654
20243260,Multiple,No,No,No,V655
20243260,Multiple,No,No,No,V656
20241083,Multiple,Yes,No,No,V657
20241083,Multiple,Yes,No,No,V658
20246006,Single,No,No,Yes,V659
20244058,Single,No,No,No,V660
20243218,Single,No,No,Yes,V661
20241089,Single,No,No,No,V662
20243146,Single,No,No,No,V663
20241295,Single,No,No,No,V664
20243264,Single,No,No,No,V665
20241136,Multiple,No,No,No,V666
20241281,Single,No,No,Yes,V667
20241136,Multiple,No,No,No,V668
20241076,Single,No,No,No,V669
20244073,Single,No,No,No,V670
20242094,Single,No,No,No,V671
20241058,Single,No,No,No,V672
20241019,Single,No,No,No,V673
20241275,Single,No,No,No,V674
20243222,Single,No,No,No,V675
20241065,Single,No,Yes,No,V676
20243094,Single,No,Yes,No,V677
20243145,Single,No,No,No,V678
20241305,Single,No,No,No,V679
20242146,Multiple,No,No,No,V680
20242146,Multiple,No,No,No,V681
20241231,Single,No,No,No,V682
20241145,Single,No,No,No,V683
20241228,Single,No,No,No,V684
20243030,Single,No,No,No,V685
20243034,Single,No,No,No,V686
20242058,Single,No,No,No,V687
20241085,Single,No,No,No,V688
20243091,Single,No,No,No,V689
20243184,Single,No,No,No,V690
20242104,Single,No,No,No,V691
20248004,Single,No,No,No,V692
20242101,Single,No,No,No,V693
20243195,Single,No,No,No,V694
20243055,Single,No,No,No,V695
20241212,Single,No,No,No,V696
20241241,Single,No,No,No,V697
20243071,Single,No,No,No,V698
20241171,Single,No,No,No,V699
20243193,Multiple,No,No,No,V700
20243193,Multiple,No,No,No,V701
20244011,Multiple,Yes,No,No,V702
20244011,Multiple,Yes,No,No,V703
20244011,Multiple,Yes,No,No,V704
20242225,Single,No,No,No,V705
20242160,Single,No,No,No,V706
20241183,Single,No,No,Yes,V707
20241025,Single,Yes,No,Yes,V708
20241079,Multiple,No,No,No,V709
20241079,Multiple,No,No,No,V710
20246010,Single,No,No,No,V711
20242235,Single,No,No,No,V712
20242113,Single,Yes,No,No,V713
20242025,Single,No,No,No,V714
20241148,Single,No,No,No,V715
20241262,Single,No,No,No,V716
20241172,Single,No,No,No,V717
20242192,Single,No,No,No,V718
20241014,Single,No,No,No,V719
20242191,Single,No,No,Yes,V720
20243189,Single,No,No,No,V721
20244033,Single,No,No,No,V722
20241206,Single,Yes,No,No,V723
20243069,Single,No,No,No,V724
20243188,Single,No,No,No,V725
20241130,Single,No,Yes,No,V726
20241178,Multiple,No,No,No,V727
20241178,Multiple,No,No,No,V728
20248011,Single,No,No,No,V729
20241043,Single,Yes,No,No,V730
20244054,Single,No,No,No,V731
20243032,Single,No,No,No,V732
20244015,Single,No,No,No,V733
20243112,Single,Yes,No,No,V734
20243253,Single,No,No,No,V735
20246028,Single,No,No,No,V736
20242244,Single,Yes,No,No,V737
20244006,Single,No,No,No,V738
20241154,Single,No,No,No,V739
20241146,Single,No,No,No,V740
20242009,Single,No,No,No,V741
20241217,Single,No,No,No,V742
20242030,Single,No,No,No,V743
20243025,Single,No,No,Yes,V744
20242168,Single,No,No,No,V745
20246021,Single,No,No,No,V746
20241238,Single,No,No,No,V747
20241158,Single,No,Yes,No,V748
20243228,Single,No,Yes,No,V749
20242210,Single,No,No,No,V750
20242253,Single,No,No,No,V751
20242256,Single,No,No,No,V752
20241289,Single,No,No,No,V753
20243045,Multiple,Yes,No,No,V754
20243045,Multiple,Yes,No,No,V755
20243045,Multiple,Yes,No,No,V756
20242028,Single,No,No,No,V757
20243054,Single,No,No,No,V758
20241187,Single,No,No,No,V759
20246007,Single,No,No,No,V760
20241126,Single,No,No,Yes,V761
20244049,Single,No,No,No,V762
20242021,Single,No,No,No,V763
20242045,Single,No,No,No,V764
20243101,Single,No,No,No,V765
20242206,Single,No,No,No,V766
20242117,Single,No,No,No,V767
20241226,Single,Yes,No,No,V768
20242079,Single,No,No,No,V769
20241156,Single,Yes,No,No,V770
20243093,Single,No,No,No,V771
20243125,Single,No,No,No,V772
20243134,Single,No,No,No,V773
20242239,Single,No,No,No,V774
20241232,Single,No,No,No,V775
20241061,Single,No,No,No,V776
20244056,Single,No,No,No,V777
20242039,Single,No,No,No,V778
20241182,Single,No,No,No,V779
20241044,Single,No,No,No,V780
20242131,Single,No,No,No,V781
20244031,Multiple,No,No,No,V782
20244031,Multiple,No,No,No,V783
20242059,Single,No,No,No,V784
20242033,Single,No,No,No,V785
20241207,Single,No,No,No,V786
20243033,Single,No,No,No,V787
20242159,Single,No,No,No,V788
20243177,Single,No,No,No,V789
20243241,Single,No,No,No,V790
20243132,Single,No,No,No,V791
20243159,Single,No,No,No,V792
20242072,Single,No,No,No,V793
20243028,Single,No,No,No,V794
20243105,Single,No,No,No,V795
20242258,Single,Yes,No,No,V796
20241007,Single,No,No,No,V797
20241227,Single,No,No,No,V798
20243130,Single,No,No,No,V799
20242065,Single,No,No,Yes,V800
20243259,Single,No,No,No,V801
20244052,Single,No,No,No,V802
20242247,Multiple,No,No,No,V803
20242247,Multiple,No,No,No,V804
20241093,Single,No,No,No,V805
20241276,Single,No,No,No,V806
20242208,Single,No,No,No,V807
20241157,Single,No,No,No,V808
20244065,Single,No,No,No,V809
20242054,Single,Yes,No,No,V810
20242221,Single,No,No,Yes,V811
20242197,Single,No,No,No,V812
20241075,Single,Yes,No,No,V813
20241279,Single,No,No,No,V814
20243095,Single,No,No,No,V815
20243272,Single,No,No,No,V816
20243027,Single,No,No,No,V817
20248001,Single,No,No,No,V818
20242228,Single,No,No,No,V819
20242105,Single,No,No,No,V820
20241069,Single,No,No,No,V821
20244074,Multiple,No,No,No,V822
20244074,Multiple,No,No,No,V823
20244008,Single,No,No,No,V824
20243100,Single,No,No,No,V825
20241122,Single,No,No,No,V826
20244064,Single,No,No,No,V827
20243138,Single,No,No,No,V828
20241141,Single,No,No,No,V829
20241244,Single,No,No,Yes,V830
20242236,Single,No,No,No,V831
