from,to
1133,NSW
1134,SA
1135,NSW
1136,NSW
1137,QLD
1138,QLD
1139,QLD
1140,QLD
1141,NSW
1142,NSW
1143,NSW
1144,VIC
1145,VIC
1146,VIC
1147,VIC
1148,NSW
1149,VIC
1150,NSW
1151,NSW
1152,NSW
1153,QLD
1154,QLD
1155,NSW
1156,NSW
1157,VIC
1158,NSW
1159,VIC
1160,TAS
1161,VIC
1162,NSW
1163,NSW
1164,NSW
1165,QLD
1166,SA
1167,TAS
1168,QLD
1169,VIC
1170,NT
1171,VIC
1172,QLD
1173,QLD
1174,QLD
1175,QLD
1176,QLD
1177,QLD
1178,VIC
1179,VIC
1180,QLD
1181,VIC
1182,NSW
1183,VIC
1184,TAS
1185,NSW
1186,QLD
1187,NSW
1188,QLD
1189,QLD
1190,NSW
1191,NSW
1192,NSW
1193,TAS
1194,VIC
1195,VIC
1196,NT
1197,NT
1198,VIC
1199,SA
1200,VIC
1201,VIC
1202,NSW
1203,NSW
1204,NSW
1205,NSW
1206,TAS
1207,SA
1208,SA
1209,SA
1210,VIC
1211,SA
1212,SA
1213,VIC
1214,NSW
1215,NSW
1216,NSW
1217,NSW
1218,QLD
1219,SA
1220,VIC
1221,QLD
1222,QLD
1223,QLD
1224,SA
1225,VIC
1226,NSW
1227,QLD
1228,VIC
1229,QLD
1230,QLD
1231,QLD
1232,TAS
1233,VIC
1234,NSW
1235,NSW
1236,VIC
1237,NSW
1238,NSW
1239,NSW
1240,NSW
1241,NSW
1242,NSW
1243,QLD
1244,QLD
1245,NSW
1246,SA
1247,SA
1248,QLD
1249,SA
1250,NSW
1251,NSW
1252,NSW
1253,QLD
1254,NT
1255,NSW
1256,VIC
1257,NSW
1258,VIC
1259,QLD
1260,QLD
1261,QLD
1262,NSW
1263,VIC
1264,QLD
1265,NT
1266,NT
1267,QLD
1268,QLD
1269,VIC
1270,SA
1271,NSW
1272,NSW
1273,NSW
1274,SA
1275,QLD
1276,QLD
1277,VIC
1278,QLD
1279,VIC
1280,VIC
1281,NSW
1282,QLD
1283,NSW
1284,VIC
1285,QLD
1286,VIC
1287,NSW
1288,QLD
1289,QLD
1290,VIC
1291,VIC
1292,NSW
1293,NSW
1294,VIC
1295,SA
1296,NSW
1297,SA
1298,SA
1299,VIC
1300,VIC
1301,VIC
1302,QLD
1303,QLD
1304,VIC
1305,NSW
1306,NSW
1307,QLD
1308,NSW
1309,SA
1310,SA
1311,VIC
1312,NSW
1313,NSW
1314,QLD
1315,NSW
1316,QLD
1317,VIC
1318,VIC
1319,VIC
1320,QLD
1321,NSW
1322,VIC
1323,QLD
1324,VIC
1325,NSW
1326,QLD
1327,NSW
1328,QLD
1329,NSW
1330,QLD
1331,VIC
1332,NSW
1333,NSW
1334,VIC
1335,VIC
1336,NSW
1337,NSW
1338,NSW
1339,NSW
1340,TAS
1341,NSW
1342,NSW
1343,QLD
1344,QLD
1345,QLD
1346,NSW
1347,VIC
1348,NSW
1349,NSW
1350,QLD
1351,QLD
1352,QLD
1353,NSW
1354,QLD
1355,QLD
1356,VIC
1357,NSW
1358,NSW
1359,NSW
1360,NSW
1361,NSW
1362,TAS
1363,QLD
1364,QLD
1365,QLD
1366,SA
1367,VIC
1368,QLD
1369,VIC
1370,SA
1371,QLD
1372,VIC
1373,QLD
1374,NSW
1375,SA
1376,NSW
1377,VIC
1378,VIC
1379,VIC
1380,VIC
1381,QLD
1382,VIC
1383,NT
1384,VIC
1385,VIC
1386,QLD
1387,NSW
1388,TAS
1389,VIC
1390,VIC
1391,QLD
1392,QLD
1393,NSW
1394,SA
1395,VIC
1396,QLD
1397,QLD
1398,QLD
1399,VIC
1400,SA
1401,NSW
1402,QLD
1403,NSW
1404,QLD
1405,NSW
1406,QLD
1407,NSW
1408,VIC
1409,VIC
1410,QLD
1411,QLD
1412,QLD
1413,QLD
1414,NSW
1415,SA
1416,QLD
1417,QLD
1418,QLD
1419,NSW
1420,NSW
1421,QLD
1422,SA
1423,QLD
1424,NSW
1425,VIC
1426,NT
1427,NSW
1428,QLD
1429,NSW
1430,NSW
1431,QLD
1432,QLD
1433,VIC
1434,VIC
1435,VIC
1436,SA
1437,SA
1438,QLD
1439,VIC
1440,QLD
1441,VIC
1442,VIC
1443,NSW
1444,NSW
1445,VIC
1446,SA
1447,QLD
1448,NSW
1449,NSW
1450,NSW
1451,SA
1452,ACT
1453,NSW
1454,SA
1455,NSW
1456,NSW
1457,NSW
1458,VIC
1459,VIC
1460,QLD
1461,SA
1462,VIC
1463,NSW
1464,NSW
1465,NSW
1466,NSW
1467,VIC
1468,QLD
1469,QLD
1470,VIC
1471,TAS
1472,VIC
1473,QLD
1474,NSW
1475,NSW
1476,NSW
1477,VIC
1478,SA
1479,QLD
1480,QLD
1481,QLD
1482,VIC
1483,NSW
1484,SA
1485,NSW
1486,NSW
1487,QLD
1488,QLD
1489,VIC
1490,NSW
1491,QLD
1492,VIC
1493,NSW
1494,NSW
1495,QLD
1496,QLD
1497,VIC
1498,VIC
1499,NSW
1500,QLD
1501,VIC
1502,NSW
1503,QLD
1504,NSW
1505,VIC
1506,QLD
1507,VIC
1508,SA
1509,NT
1510,TAS
1511,NSW
1512,VIC
1513,QLD
1514,VIC
1515,NSW
1516,QLD
1517,VIC
1518,QLD
1519,QLD
1520,QLD
1521,QLD
1522,VIC
1523,QLD
1524,VIC
1525,QLD
1526,NSW
1527,VIC
1528,NSW
1529,TAS
1530,VIC
1531,QLD
1532,NT
1533,QLD
1534,NSW
1535,NSW
1536,NSW
1537,QLD
1538,NSW
1539,NSW
1540,VIC
1541,NSW
1542,NSW
1543,QLD
1544,NSW
1545,QLD
1546,VIC
1547,TAS
1548,NSW
1549,QLD
1550,NSW
1551,NSW
1552,NSW
1553,NSW
1554,NSW
1555,NSW
1556,NSW
1557,NSW
1558,NSW
1559,NSW
1560,VIC
1561,NSW
1562,QLD
1563,QLD
1564,TAS
1565,NSW
1566,SA
1567,VIC
1568,QLD
1569,VIC
1570,NSW
1571,NSW
1572,NSW
1573,NSW
1574,SA
1575,QLD
1576,VIC
1577,NSW
1578,NSW
1579,VIC
1580,NSW
1581,QLD
1582,QLD
1583,QLD
1584,SA
1585,QLD
1586,NSW
1587,QLD
1588,SA
1589,SA
1590,NSW
1591,QLD
1592,NSW
1593,VIC
1594,SA
1595,QLD
1596,NSW
1597,QLD
1598,QLD
1599,VIC
1600,SA
1601,VIC
1602,QLD
1603,QLD
1604,QLD
1605,VIC
1606,NSW
1607,QLD
1608,SA
1609,QLD
1610,NSW
1611,TAS
1612,QLD
1613,VIC
1614,VIC
1615,NSW
1616,QLD
1617,QLD
1618,QLD
1619,NSW
1620,QLD
1621,NSW
1622,NSW
1623,QLD
1624,SA
1625,SA
1626,NSW
1627,NSW
1628,TAS
1629,QLD
1630,TAS
1631,SA
1632,QLD
1633,QLD
1634,NSW
1635,QLD
1636,NSW
1637,VIC
1638,NSW
1639,NSW
1640,QLD
1641,QLD
1642,VIC
1643,QLD
1644,QLD
1645,SA
1646,QLD
1647,NSW
1648,NSW
1649,NSW
1650,NSW
1651,NSW
1652,NSW
1653,NSW
1654,NSW
1655,TAS
1656,NSW
1657,NSW
1658,SA
1659,NSW
1660,QLD
1661,SA
1662,QLD
1663,NSW
1664,QLD
1665,NSW
1666,VIC
1667,NSW
1668,NSW
1669,VIC
1670,NSW
1671,VIC
1672,VIC
1673,QLD
1674,NT
1675,NSW
1676,NSW
1677,NSW
1678,NSW
1679,NSW
1680,QLD
1681,SA
1682,QLD
1683,TAS
1684,NSW
1685,NSW
1686,VIC
1687,VIC
1688,VIC
1689,QLD
1690,QLD
1691,QLD
1692,QLD
1693,SA
1694,NSW
1695,QLD
1696,QLD
1697,NSW
1698,NSW
1699,QLD
1700,VIC
1701,VIC
1702,VIC
1703,VIC
1704,VIC
1705,NSW
1706,NSW
1707,QLD
1708,NSW
1709,VIC
1710,VIC
1711,QLD
1712,SA
1713,NSW
1714,SA
1715,NSW
1716,NSW
1717,NSW
1718,NSW
1719,QLD
1720,NSW
1721,NSW
1722,QLD
1723,NSW
1724,QLD
1725,QLD
1726,QLD
1727,QLD
1728,QLD
1729,NSW
1730,TAS
1731,SA
1732,SA
1733,NSW
1734,SA
1735,VIC
1736,NSW
1737,QLD
1738,SA
1739,NSW
1740,NSW
1741,QLD
1742,NSW
1743,NSW
1744,NSW
1745,QLD
1746,NSW
1747,NSW
1748,NSW
1749,QLD
1750,SA
1751,SA
1752,SA
1753,NSW
1754,QLD
1755,SA
1756,QLD
1757,VIC
1758,NSW
1759,SA
1760,NSW
1761,QLD
1762,VIC
1763,VIC
1764,NSW
1765,NSW
1766,QLD
1767,QLD
1768,QLD
1769,NSW
1770,NSW
1771,NSW
1772,SA
1773,VIC
1774,VIC
1775,NSW
1776,VIC
1777,NSW
1778,QLD
1779,VIC
1780,QLD
1781,NSW
1782,TAS
1783,VIC
1784,SA
1785,NT
1786,VIC
1787,VIC
1788,SA
1789,NSW
1790,VIC
1791,NSW
1792,SA
1793,QLD
1794,NSW
1795,NSW
1796,SA
1797,QLD
1798,QLD
1799,NSW
1800,VIC
1801,NSW
1802,NSW
1803,SA
1804,VIC
1805,TAS
1806,SA
1807,SA
1808,VIC
1809,QLD
1810,NSW
1811,NSW
1812,NSW
1813,NSW
1814,NSW
1815,NT
1816,SA
1817,SA
1818,QLD
1819,TAS
1820,NSW
1821,QLD
1822,SA
1823,QLD
1824,SA
1825,QLD
1826,QLD
1827,VIC
1828,SA
1829,NSW
1830,NSW
1831,SA
1832,NSW
1833,NSW
1834,QLD
1835,QLD
1836,NSW
1837,QLD
1838,NSW
1839,QLD
1840,NSW
1841,VIC
1842,NSW
1843,NSW
1844,QLD
1845,NSW
1846,NSW
1847,VIC
1848,QLD
1849,NSW
1850,NSW
1851,NSW
1852,NSW
1853,TAS
1854,SA
1855,NSW
1856,SA
1857,NSW
1858,NSW
1859,VIC
1860,QLD
1861,VIC
1862,VIC
1863,VIC
1864,SA
1865,NSW
1866,SA
1867,SA
1868,VIC
1869,QLD
1870,QLD
1871,SA
1872,VIC
1873,VIC
1874,VIC
1875,VIC
1876,VIC
1877,VIC
1878,VIC
1879,TAS
1880,VIC
1881,VIC
1882,QLD
1883,VIC
1884,QLD
1885,SA
1886,VIC
1887,NSW
1888,QLD
1889,QLD
1890,VIC
1891,VIC
1892,VIC
1893,QLD
1894,VIC
1895,VIC
1896,VIC
1897,VIC
1898,QLD
1899,NSW
1900,QLD
1901,QLD
1902,NSW
1903,SA
1904,NSW
1905,QLD
1906,VIC
1907,NSW
1908,SA
1909,SA
1910,VIC
1911,NSW
1912,VIC
1913,QLD
1914,QLD
1915,VIC
1916,NSW
1917,NSW
1918,QLD
1919,QLD
1920,VIC
1921,QLD
1922,NSW
1923,VIC
1924,TAS
1925,NSW
1926,SA
1927,QLD
1928,SA
1929,NSW
1930,QLD
1931,QLD
1932,SA
1933,NT
1934,SA
1935,VIC
1936,VIC
1937,QLD
1938,QLD
1939,VIC
1940,VIC
1941,NSW
1942,NSW
1943,NSW
1944,VIC
1945,TAS
1946,ACT
1947,VIC
1948,VIC
1949,VIC
1950,SA
1951,NSW
1952,NSW
1953,NSW
1954,NSW
1955,VIC
1956,QLD
1957,QLD
1958,QLD
1959,VIC
1960,VIC
1961,TAS
1962,QLD
1963,NSW
1964,NSW
1965,SA
1966,SA
1967,SA
1968,QLD
1969,VIC
1970,VIC
1971,VIC
1972,VIC
1973,VIC
1974,QLD
1975,VIC
1976,NSW
1977,NSW
1978,NSW
1979,NSW
1980,NSW
1981,NSW
1982,QLD
1983,QLD
1984,QLD
1985,NSW
1986,NSW
1987,NSW
1988,SA
1989,NSW
1990,NSW
1991,NSW
1992,SA
1993,QLD
1994,QLD
1995,QLD
1996,NSW
1997,QLD
1998,QLD
1999,QLD
2000,NSW
2001,QLD
2002,QLD
2003,TAS
2004,QLD
2005,QLD
2006,SA
2007,QLD
2008,NT
2009,NSW
2010,QLD
2011,QLD
2012,QLD
2013,NSW
2014,NSW
2015,NSW
2016,QLD
2017,QLD
2018,NSW
2019,QLD
2020,NSW
2021,NSW
2022,QLD
2023,NSW
2024,NSW
2025,SA
2026,SA
2027,SA
2028,NSW
2029,NSW
2030,QLD
2031,NSW
2032,QLD
2033,QLD
2034,QLD
2035,NSW
2036,QLD
2037,SA
2038,QLD
2039,SA
2040,VIC
2041,NSW
2042,VIC
2043,TAS
2044,QLD
2045,VIC
2046,SA
2047,NSW
2048,VIC
2049,QLD
2050,SA
2051,VIC
2052,QLD
2053,NSW
2054,NSW
2055,TAS
2056,NSW
2057,QLD
2058,VIC
2059,QLD
2060,VIC
2061,VIC
2062,QLD
2063,QLD
2064,QLD
2065,NSW
2066,NSW
2067,QLD
2068,QLD
2069,NSW
2070,QLD
2071,TAS
2072,NSW
2073,VIC
2074,SA
2075,QLD
2076,NSW
2077,NSW
2078,QLD
2079,QLD
2080,QLD
2081,NSW
2082,VIC
2083,NSW
2084,QLD
2085,QLD
2086,VIC
2087,NSW
2088,VIC
2089,QLD
2090,VIC
2091,NSW
2092,NSW
2093,NSW
2094,NSW
2095,VIC
2096,QLD
2097,QLD
2098,QLD
2099,VIC
2100,QLD
2101,VIC
2102,NT
2103,QLD
2104,QLD
2105,QLD
2106,NSW
2107,VIC
2108,NSW
2109,TAS
2110,NSW
2111,SA
2112,VIC
2113,NSW
2114,QLD
2115,NSW
2116,SA
2117,QLD
2118,QLD
2119,VIC
2120,NSW
2121,QLD
2122,VIC
2123,TAS
2124,TAS
2125,NT
2126,QLD
2127,QLD
2128,NT
2129,VIC
2130,VIC
2131,QLD
2132,NSW
2133,VIC
2134,SA
2135,NSW
2136,VIC
2137,NSW
2138,NSW
2139,NSW
2140,QLD
2141,NSW
2142,VIC
2143,TAS
2144,NSW
2145,VIC
2146,VIC
2147,NSW
2148,TAS
2149,NSW
2150,VIC
2151,ACT
2152,VIC
2153,NSW
2154,QLD
2155,QLD
2156,ACT
2157,ACT
2158,QLD
2159,SA
2160,VIC
2161,QLD
2162,NSW
2163,ACT
2164,ACT
2165,ACT
2166,NSW
2167,NSW
2168,QLD
2169,QLD
2170,QLD
2171,NSW
2172,NSW
2173,VIC
2174,VIC
2175,QLD
