personID,crashID
P672,20241058
P673,20241019
P674,20241275
P675,20243222
P676,20241065
P677,20243094
P678,20243145
P679,20241305
P680,20242146
P681,20242146
P682,20241231
P683,20241145
P684,20241228
P685,20243030
P686,20243034
P687,20242058
P688,20241085
P689,20243091
P690,20243184
P691,20242104
P692,20248004
P693,20242101
P694,20243195
P695,20243055
P696,20241212
P697,20241241
P698,20243071
P699,20241171
P700,20243193
P701,20243193
P702,20244011
P703,20244011
P704,20244011
P705,20242225
P706,20242160
P707,20241183
P708,20241025
P709,20241079
P710,20241079
P711,20246010
P712,20242235
P713,20242113
P714,20242025
P715,20241148
P716,20241262
P717,20241172
P718,20242192
P719,20241014
P720,20242191
P721,20243189
P722,20244033
P723,20241206
P724,20243069
P725,20243188
P726,20241130
P727,20241178
P728,20241178
P729,20248011
P730,20241043
P731,20244054
P732,20243032
P733,20244015
P734,20243112
P735,20243253
P736,20246028
P737,20242244
P738,20244006
P739,20241154
P740,20241146
P741,20242009
P742,20241217
P743,20242030
P744,20243025
P745,20242168
P746,20246021
P747,20241238
P748,20241158
P749,20243228
P750,20242210
P751,20242253
P752,20242256
P753,20241289
P754,20243045
P755,20243045
P756,20243045
P757,20242028
P758,20243054
P759,20241187
P760,20246007
P761,20241126
P762,20244049
P763,20242021
P764,20242045
P765,20243101
P766,20242206
P767,20242117
P768,20241226
P769,20242079
P770,20241156
P771,20243093
P772,20243125
P773,20243134
P774,20242239
P775,20241232
P776,20241061
P777,20244056
P778,20242039
P779,20241182
P780,20241044
P781,20242131
P782,20244031
P783,20244031
P784,20242059
P785,20242033
P786,20241207
P787,20243033
P788,20242159
P789,20243177
P790,20243241
P791,20243132
P792,20243159
P793,20242072
P794,20243028
P795,20243105
P796,20242258
P797,20241007
P798,20241227
P799,20243130
P800,20242065
P801,20243259
P802,20244052
P803,20242247
P804,20242247
P805,20241093
P806,20241276
P807,20242208
P808,20241157
P809,20244065
P810,20242054
P811,20242221
P812,20242197
P813,20241075
P814,20241279
P815,20243095
P816,20243272
P817,20243027
P818,20248001
P819,20242228
P820,20242105
P821,20241069
P822,20244074
P823,20244074
P824,20244008
P825,20243100
P826,20241122
P827,20244064
P828,20243138
P829,20241141
P830,20241244
P831,20242236
P832,20242195
P833,20242010
P834,20242205
P835,20244002
P836,20242041
P837,20242084
P838,20243230
P839,20241114
P840,20243068
P841,20243099
P842,20242145
P843,20243062
P844,20244048
P845,20241112
P846,20243047
P847,20242198
P848,20243202
P849,20243202
P850,20244029
P851,20241185
P852,20241185
P853,20241185
P854,20241185
P855,20242153
P856,20243257
P857,20243149
P858,20242202
P859,20243245
P860,20244004
P861,20241123
P862,20242222
P863,20242248
P864,20241213
P865,20241213
P866,20241213
P867,20242220
P868,20242047
P869,20243270
P870,20241121
P871,20243016
P872,20241038
P873,20243200
P874,20243039
P875,20242246
P876,20242063
P877,20243180
P878,20241297
P879,20243059
P880,20242242
P881,20242091
P882,20243077
P883,20244038
P884,20243136
P885,20243211
P886,20241270
P887,20241225
P888,20241084
P889,20243050
P890,20243216
P891,20242190
P892,20243115
P893,20242116
P894,20241129
P895,20244076
P896,20243141
P897,20241095
P898,20242082
P899,20241090
P900,20241113
P901,20243258
P902,20244053
P903,20241064
P904,20243175
P905,20243183
P906,20241049
P907,20241242
P908,20241144
P909,20243262
P910,20241001
P911,20242231
P912,20241018
P913,20241105
P914,20241282
P915,20243204
P916,20243224
P917,20243179
P918,20241192
P919,20241026
P920,20241067
P921,20242001
P922,20243013
P923,20241191
P924,20241191
P925,20242031
P926,20241117
P927,20241117
P928,20246020
P929,20241012
P930,20242263
P931,20242038
P932,20246005
P933,20244030
P934,20242061
P935,20244036
P936,20242134
P937,20243060
P938,20242002
P939,20242002
P940,20243057
P941,20243166
P942,20242203
P943,20243196
P944,20241214
P945,20242083
P946,20241272
P947,20241104
P948,20243182
P949,20242180
P950,20242126
P951,20241023
P952,20241023
P953,20243065
P954,20243083
P955,20244070
P956,20243048
P957,20241280
P958,20242118
P959,20242118
P960,20241193
P961,20242150
P962,20241239
P963,20242111
P964,20243255
P965,20241033
P966,20241288
P967,20243012
P968,20241164
P969,20243250
P970,20242076
P971,20241099
P972,20243052
P973,20241015
P974,20243219
P975,20241184
P976,20241284
P977,20242218
P978,20241008
P979,20244075
P980,20242147
P981,20248010
P982,20234108
P983,20234099
P984,20233145
P985,20236026
P986,20233259
P987,20236028
P988,20231088
P989,20231088
P990,20231088
P991,20231189
P992,20232156
P993,20233100
P994,20231103
P995,20232192
P996,20232192
P997,20233056
P998,20231091
P999,20232211
P1000,20231104
P1001,20231155
P1002,20232098
P1003,20232128
P1004,20233085
P1005,20234027
P1006,20232061
P1007,20234033
P1008,20232044
P1009,20232250
P1010,20233231
P1011,20231020
P1012,20231115
P1013,20231038
P1014,20231038
P1015,20231108
P1016,20231281
P1017,20233078
P1018,20231261
P1019,20233258
P1020,20233258
P1021,20236009
P1022,20232237
P1023,20232188
P1024,20233165
P1025,20231098
P1026,20234029
P1027,20231102
P1028,20231102
P1029,20231198
P1030,20231129
P1031,20231231
P1032,20233120
P1033,20232196
P1034,20234053
P1035,20234053
P1036,20232240
P1037,20231095
P1038,20232119
P1039,20232243
P1040,20234042
P1041,20232067
P1042,20234079
P1043,20231023
P1044,20233221
P1045,20233081
P1046,20231076
P1047,20232045
P1048,20236006
P1049,20234061
P1050,20232201
P1051,20236025
P1052,20233189
P1053,20233111
P1054,20232097
P1055,20233036
P1056,20231250
P1057,20233228
P1058,20234084
P1059,20232009
P1060,20231145
P1061,20231056
P1062,20232115
P1063,20233012
P1064,20232018
P1065,20233200
P1066,20233110
P1067,20233154
P1068,20231223
P1069,20231223
P1070,20231223
P1071,20234067
P1072,20231182
P1073,20238004
P1074,20231173
P1075,20233155
P1076,20233161
P1077,20234020
P1078,20231052
P1079,20231296
P1080,20231143
P1081,20234021
P1082,20231302
P1083,20231285
P1084,20231178
P1085,20234031
P1086,20237013
P1087,20233136
P1088,20233051
P1089,20231229
P1090,20231229
P1091,20233176
P1092,20234068
P1093,20231044
P1094,20231190
P1095,20236012
P1096,20233205
P1097,20233074
P1098,20233050
P1099,20231045
P1100,20231045
P1101,20231205
P1102,20234025
P1103,20234025
P1104,20231119
P1105,20231272
P1106,20233139
P1107,20233043
P1108,20231256
P1109,20234018
P1110,20231278
P1111,20233008
P1112,20234063
P1113,20233069
P1114,20234017
P1115,20231029
P1116,20231111
P1117,20234034
P1118,20231160
P1119,20233224
P1120,20231139
P1121,20231303
P1122,20231283
P1123,20231141
P1124,20231206
P1125,20233017
P1126,20231175
P1127,20233073
P1128,20233114
P1129,20231064
