state,remoteness,sa4_name,lga_name,road_type,speed_limit,location_id
QLD,Major Cities of Australia,Ipswich,Ipswich,Sub-arterial Road,100,288
TAS,Inner Regional Australia,Hobart,Clarence,Arterial Road,80,289
NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Arterial Road,60,290
NSW,Inner Regional Australia,Central West,Lithgow,National or State Highway,70,291
QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,70,292
NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,50,293
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Arterial Road,60,294
NSW,Inner Regional Australia,Murray,Greater Hume,Arterial Road,100,295
VIC,Major Cities of Australia,Melbourne - South East,Kingston (Vic.),Local Road,50,296
VIC,Major Cities of Australia,Melbourne - Inner East,Manningham,Arterial Road,60,297
QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road,80,298
NSW,Inner Regional Australia,Central West,Bathurst,National or State Highway,100,299
SA,Remote Australia,South Australia - Outback,Wudinna,National or State Highway,110,300
NSW,Outer Regional Australia,New England and North West,Inverell,Arterial Road,100,301
VIC,Major Cities of Australia,Melbourne - West,Brimbank,Arterial Road,60,302
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Arterial Road,80,303
VIC,Major Cities of Australia,Melbourne - North East,Darebin,Collector Road,60,304
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Local Road,50,305
SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Collector Road,40,306
TAS,Very Remote Australia,Launceston and North East,Flinders (Tas.),Arterial Road,100,307
QLD,Inner Regional Australia,Ipswich,Scenic Rim,Collector Road,80,308
TAS,Outer Regional Australia,West and North West,Burnie,Arterial Road,80,309
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Pedestrian Thoroughfare,80,310
NSW,Outer Regional Australia,New England and North West,Armidale,Access road,50,311
VIC,Inner Regional Australia,Ballarat,Ballarat,Arterial Road,80,312
NSW,Inner Regional Australia,Far West and Orana,Dubbo,Sub-arterial Road,100,313
