state,remoteness,sa4_name,lga_name,road_type,speed_limit,location_id
VIC,Major Cities of Australia,Melbourne - North East,Darebin,Arterial Road,50,1155
QLD,Inner Regional Australia,Wide Bay,Bundaberg,Local Road,80,1156
SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Local Road,60,1157
NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Arterial Road,40,1158
NSW,Inner Regional Australia,Capital Region,Yass Valley,National or State Highway,100,1159
TAS,Outer Regional Australia,Hobart,Sorell,National or State Highway,100,1160
NSW,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,100,1161
QLD,Major Cities of Australia,Ipswich,Ipswich,National or State Highway,70,1162
QLD,Outer Regional Australia,Townsville,Townsville,Collector Road,100,1163
NSW,Inner Regional Australia,Capital Region,Snowy Monaro,National or State Highway,100,1164
VIC,Major Cities of Australia,Melbourne - South East,Cardinia,National or State Highway,70,1165
NSW,Major Cities of Australia,Capital Region,Yass Valley,National or State Highway,110,1166
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Sub-arterial Road,60,1167
QLD,Outer Regional Australia,Townsville,Townsville,Sub-arterial Road,80,1168
NT,Very Remote Australia,Northern Territory - Outback,MacDonnell,Sub-arterial Road,110,1169
NSW,Major Cities of Australia,Richmond - Tweed,Tweed,Local Road,50,1170
NSW,Inner Regional Australia,Riverina,Wagga Wagga,National or State Highway,100,1171
QLD,Outer Regional Australia,Cairns,Cairns,Sub-arterial Road,60,1172
SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Sub-arterial Road,80,1173
TAS,Outer Regional Australia,Launceston and North East,George Town,National or State Highway,100,1174
NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,National or State Highway,110,1175
VIC,Inner Regional Australia,Hume,Wangaratta,Arterial Road,80,1176
VIC,Major Cities of Australia,Melbourne - North East,Banyule,Sub-arterial Road,60,1177
QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,National or State Highway,100,1178
QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road,80,1179
SA,Major Cities of Australia,Adelaide - North,Salisbury,National or State Highway,80,1180
NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Local Road,50,1181
NSW,Outer Regional Australia,Capital Region,Snowy Monaro,Arterial Road,100,1182
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road,70,1183
VIC,Major Cities of Australia,Mornington Peninsula,Frankston,National or State Highway,100,1184
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,Local Road,50,1185
NSW,Outer Regional Australia,Riverina,Leeton,Local Road,60,1186
NSW,Remote Australia,Murray,Balranald,Arterial Road,100,1187
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,Sub-arterial Road,50,1188
NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Arterial Road,50,1189
QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road,100,1190
QLD,Major Cities of Australia,Logan - Beaudesert,Logan,National or State Highway,110,1191
QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Sub-arterial Road,100,1192
TAS,Outer Regional Australia,Launceston and North East,Dorset,Arterial Road,100,1193
SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Sub-arterial Road,60,1194
VIC,Inner Regional Australia,Shepparton,Campaspe,Arterial Road,30,1195
QLD,Inner Regional Australia,Gold Coast,Scenic Rim,Sub-arterial Road,100,1196
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Collector Road,80,1197
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Local Road,50,1198
QLD,Major Cities of Australia,Gold Coast,Gold Coast,Local Road,40,1199
NSW,Inner Regional Australia,Richmond - Tweed,Kyogle,Arterial Road,80,1200
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,National or State Highway,110,1201
QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Sub-arterial Road,100,1202
QLD,Major Cities of Australia,Ipswich,Brisbane,National or State Highway,100,1203
SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,National or State Highway,110,1204
SA,Major Cities of Australia,Adelaide - North,Salisbury,Arterial Road,60,1205
NSW,Major Cities of Australia,Sydney - Ryde,Parramatta,Local Road,50,1206
SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Collector Road,80,1207
VIC,Major Cities of Australia,Melbourne - North West,Hume,National or State Highway,100,1208
NSW,Inner Regional Australia,New England and North West,Tamworth,Arterial Road,100,1209
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Access road,20,1210
QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Local Road,50,1211
VIC,Inner Regional Australia,Shepparton,Moira,National or State Highway,80,1212
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Arterial Road,80,1213
NSW,Outer Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,80,1214
QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Sub-arterial Road,60,1215
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Sub-arterial Road,100,1216
VIC,Inner Regional Australia,Hume,Wangaratta,Local Road,100,1217
NSW,Inner Regional Australia,New England and North West,Tamworth,Arterial Road,60,1218
NSW,Outer Regional Australia,Murray,Murray River,Sub-arterial Road,100,1219
QLD,Outer Regional Australia,Cairns,Cairns,National or State Highway,80,1220
QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Collector Road,100,1221
NSW,Outer Regional Australia,Capital Region,Eurobodalla,National or State Highway,50,1222
TAS,Outer Regional Australia,South East,Kingborough,Sub-arterial Road,90,1223
SA,Inner Regional Australia,South Australia - South East,Alexandrina,Collector Road,80,1224
NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly,National or State Highway,130,1225
VIC,Major Cities of Australia,Geelong,Greater Geelong,National or State Highway,100,1226
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,National or State Highway,80,1227
VIC,Major Cities of Australia,Melbourne - West,Melton,Sub-arterial Road,40,1228
NSW,Major Cities of Australia,Illawarra,Shellharbour,Arterial Road,70,1229
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Barunga West,Local Road,100,1230
QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Collector Road,70,1231
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Arterial Road,80,1232
SA,Outer Regional Australia,South Australia - South East,Wattle Range,Sub-arterial Road,110,1233
QLD,Inner Regional Australia,Wide Bay,Gympie,National or State Highway,80,1234
VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,National or State Highway,110,1235
NSW,Major Cities of Australia,Sydney - Ryde,Hornsby,Local Road,60,1236
SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Sub-arterial Road,60,1237
TAS,Inner Regional Australia,Launceston and North East,Launceston,National or State Highway,80,1238
SA,Remote Australia,South Australia - Outback,Unincorporated SA,Arterial Road,110,1239
VIC,Major Cities of Australia,Melbourne - Inner,Merri-bek,Sub-arterial Road,60,1240
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Local Road,60,1241
NSW,Inner Regional Australia,Far West and Orana,Dubbo,National or State Highway,60,1242
NSW,Inner Regional Australia,Capital Region,Hilltops,Arterial Road,50,1243
NT,Outer Regional Australia,Darwin,Darwin,Arterial Road,70,1244
SA,Inner Regional Australia,South Australia - South East,Alexandrina,Local Road,10,1245
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast,Arterial Road,50,1246
QLD,Inner Regional Australia,Ipswich,Somerset,National or State Highway,100,1247
TAS,Outer Regional Australia,West and North West,Burnie,Collector Road,70,1248
NSW,Inner Regional Australia,Riverina,Lockhart,Arterial Road,100,1249
SA,Outer Regional Australia,South Australia - South East,Wattle Range,Sub-arterial Road,100,1250
QLD,Very Remote Australia,Queensland - Outback,Cloncurry,National or State Highway,100,1251
SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,Arterial Road,110,1252
QLD,Inner Regional Australia,Toowoomba,Toowoomba,Sub-arterial Road,100,1253
SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Sub-arterial Road,50,1254
NSW,Outer Regional Australia,New England and North West,Narrabri,National or State Highway,110,1255
NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,90,1256
SA,Remote Australia,South Australia - South East,Southern Mallee,Local Road,100,1257
NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Arterial Road,60,1258
NSW,Inner Regional Australia,Murray,Greater Hume,Sub-arterial Road,100,1259
NSW,Outer Regional Australia,Central West,Forbes,National or State Highway,100,1260
NSW,Outer Regional Australia,New England and North West,Gwydir,Local Road,100,1261
NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Local Road,50,1262
NSW,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway,80,1263
QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Local Road,50,1264
NSW,Inner Regional Australia,New England and North West,Glen Innes Severn,Local Road,10,1265
NSW,Outer Regional Australia,Far West and Orana,Dubbo,Arterial Road,100,1266
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Arterial Road,60,1267
TAS,Outer Regional Australia,West and North West,Kentish,Sub-arterial Road,100,1268
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Goyder,Local Road,100,1269
SA,Major Cities of Australia,Adelaide - South,Marion,National or State Highway,60,1270
VIC,Major Cities of Australia,Melbourne - North West,Brimbank,National or State Highway,80,1271
QLD,Major Cities of Australia,Ipswich,Brisbane,Local Road,50,1272
VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,National or State Highway,60,1273
VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Collector Road,60,1274
VIC,Major Cities of Australia,Melbourne - West,Hobsons Bay,Local Road,70,1275
SA,Inner Regional Australia,Adelaide - North,Adelaide Plains,National or State Highway,110,1276
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road,100,1277
SA,Outer Regional Australia,South Australia - Outback,Flinders Ranges,Arterial Road,110,1278
SA,Inner Regional Australia,Adelaide - North,Adelaide Plains,Collector Road,80,1279
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Local Road,100,1280
VIC,Outer Regional Australia,Shepparton,Moira,National or State Highway,100,1281
VIC,Inner Regional Australia,Hume,Murrindindi,Access road,100,1282
VIC,Outer Regional Australia,North West,West Wimmera,National or State Highway,100,1283
VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,Local Road,80,1284
SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Collector Road,80,1285
NSW,Outer Regional Australia,New England and North West,Tenterfield,Local Road,100,1286
VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,National or State Highway,100,1287
VIC,Major Cities of Australia,Melbourne - Inner East,Whitehorse,National or State Highway,70,1288
VIC,Inner Regional Australia,Geelong,Greater Geelong,Sub-arterial Road,80,1289
QLD,Outer Regional Australia,Cairns,Mareeba,National or State Highway,100,1290
QLD,Inner Regional Australia,Wide Bay,Bundaberg,Collector Road,100,1291
NSW,Inner Regional Australia,Central Coast,Central Coast (NSW),National or State Highway,110,1292
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Sub-arterial Road,70,1293
SA,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),Local Road,50,1294
SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,National or State Highway,110,1295
VIC,Inner Regional Australia,Bendigo,Loddon,Arterial Road,100,1296
QLD,Inner Regional Australia,Wide Bay,Gympie,Local Road,80,1297
NSW,Inner Regional Australia,Capital Region,Yass Valley,Arterial Road,100,1298
QLD,Inner Regional Australia,Gold Coast,Scenic Rim,Sub-arterial Road,60,1299
QLD,Outer Regional Australia,Moreton Bay - North,Somerset,Local Road,50,1300
NSW,Inner Regional Australia,Riverina,Wagga Wagga,Local Road,50,1301
VIC,Outer Regional Australia,North West,Northern Grampians,Collector Road,100,1302
TAS,Remote Australia,West and North West,West Coast,Arterial Road,100,1303
NSW,Inner Regional Australia,Riverina,Junee,Access road,100,1304
SA,Inner Regional Australia,South Australia - South East,Victor Harbor,National or State Highway,100,1305
SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Local Road,50,1306
NSW,Inner Regional Australia,Capital Region,Yass Valley,Arterial Road,80,1307
QLD,Inner Regional Australia,Ipswich,Somerset,Sub-arterial Road,60,1308
SA,Major Cities of Australia,Adelaide - Central and Hills,Burnside,Local Road,60,1309
NT,Remote Australia,Northern Territory - Outback,Coomalie ,National or State Highway,130,1310
SA,Inner Regional Australia,South Australia - South East,Victor Harbor,Collector Road,10,1311
VIC,Major Cities of Australia,Melbourne - Outer East,Manningham,Sub-arterial Road,70,1312
VIC,Outer Regional Australia,Warrnambool and South West,Corangamite,Arterial Road,100,1313
VIC,Outer Regional Australia,Warrnambool and South West,Southern Grampians,Sub-arterial Road,100,1314
VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,National or State Highway,80,1315
NSW,Major Cities of Australia,Sydney - Ryde,Hunters Hill,Arterial Road,60,1316
NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Local Road,80,1317
VIC,Inner Regional Australia,Geelong,Golden Plains,Access road,60,1318
VIC,Major Cities of Australia,Melbourne - West,Brimbank,Collector Road,60,1319
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Wakefield,National or State Highway,110,1320
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,Local Road,50,1321
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,National or State Highway,80,1322
VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Arterial Road,100,1323
VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Local Road,50,1324
TAS,Outer Regional Australia,Launceston and North East,Break O'Day,National or State Highway,100,1325
SA,Outer Regional Australia,South Australia - South East,Loxton Waikerie,National or State Highway,100,1326
SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Local Road,50,1327
QLD,Inner Regional Australia,Wide Bay,Bundaberg,National or State Highway,80,1328
VIC,Outer Regional Australia,North West,Buloke,Arterial Road,80,1329
VIC,Outer Regional Australia,Hume,Benalla,Sub-arterial Road,100,1330
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,Local Road,50,1331
NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,40,1332
NSW,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Arterial Road,60,1333
NSW,Inner Regional Australia,Murray,Greater Hume,Access road,60,1334
NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,National or State Highway,60,1335
SA,Inner Regional Australia,Adelaide - North,Playford,Sub-arterial Road,100,1336
QLD,Outer Regional Australia,Central Queensland,Banana,Sub-arterial Road,100,1337
QLD,Outer Regional Australia,Cairns,Douglas,Collector Road,80,1338
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Mosman,Arterial Road,60,1339
QLD,Major Cities of Australia,Brisbane - East,Redland,Collector Road,50,1340
TAS,Outer Regional Australia,South East,Glamorgan-Spring Bay,National or State Highway,60,1341
SA,Inner Regional Australia,South Australia - South East,Alexandrina,Arterial Road,100,1342
NSW,Inner Regional Australia,Central West,Lithgow,Arterial Road,80,1343
QLD,Outer Regional Australia,Cairns,Cairns,National or State Highway,60,1344
QLD,Major Cities of Australia,Ipswich,Brisbane,Collector Road,50,1345
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Hawkesbury,Arterial Road,80,1346
NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road,80,1347
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road,60,1348
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,National or State Highway,110,1349
NSW,Major Cities of Australia,Sydney - Inner West,Inner West,Arterial Road,60,1350
NSW,Major Cities of Australia,Illawarra,Wollongong,Local Road,50,1351
NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,National or State Highway,50,1352
NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Collector Road,40,1353
SA,Inner Regional Australia,South Australia - South East,Alexandrina,Sub-arterial Road,100,1354
QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road,60,1355
TAS,Outer Regional Australia,South East,Southern Midlands,National or State Highway,100,1356
VIC,Outer Regional Australia,Hume,Towong,Collector Road,100,1357
VIC,Major Cities of Australia,Melbourne - West,Brimbank,Local Road,70,1358
SA,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),Sub-arterial Road,60,1359
VIC,Major Cities of Australia,Melbourne - North East,Darebin,Arterial Road,70,1360
QLD,Outer Regional Australia,Cairns,Cassowary Coast,Local Road,60,1361
NSW,Outer Regional Australia,New England and North West,Tamworth,Local Road,100,1362
TAS,Outer Regional Australia,South East,Huon Valley,National or State Highway,50,1363
NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Local Road,60,1364
QLD,Major Cities of Australia,Brisbane - West,Brisbane,Local Road,50,1365
QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road,100,1366
QLD,Remote Australia,Queensland - Outback,Mount Isa,Local Road,50,1367
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,Sub-arterial Road,100,1368
NSW,Inner Regional Australia,Murray,Albury,Sub-arterial Road,60,1369
QLD,Outer Regional Australia,Logan - Beaudesert,Scenic Rim,National or State Highway,100,1370
NSW,Outer Regional Australia,New England and North West,Armidale,Arterial Road,60,1371
SA,Major Cities of Australia,Adelaide - North,Playford,Collector Road,80,1372
QLD,Outer Regional Australia,Townsville,Charters Towers,Local Road,60,1373
NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Arterial Road,60,1374
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,National or State Highway,60,1375
QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Access road,40,1376
QLD,Outer Regional Australia,Wide Bay,North Burnett,National or State Highway,60,1377
VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,Arterial Road,80,1378
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,National or State Highway,60,1379
QLD,Inner Regional Australia,Wide Bay,Bundaberg,Local Road,100,1380
VIC,Inner Regional Australia,Bendigo,Mount Alexander,Arterial Road,100,1381
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney,Local Road,50,1382
VIC,Inner Regional Australia,Hume,Mitchell,National or State Highway,110,1383
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Sub-arterial Road,50,1384
NSW,Outer Regional Australia,New England and North West,Tamworth,National or State Highway,100,1385
QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road,70,1386
QLD,Outer Regional Australia,Central Queensland,Banana,Local Road,60,1387
NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,Sub-arterial Road,110,1388
QLD,Major Cities of Australia,Brisbane - East,Brisbane,Local Road,80,1389
QLD,Inner Regional Australia,Darling Downs - Maranoa,Western Downs,National or State Highway,60,1390
NSW,Major Cities of Australia,Richmond - Tweed,Tweed,Local Road,60,1391
TAS,Outer Regional Australia,Launceston and North East,Break O'Day,Collector Road,80,1392
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Woollahra,Local Road,50,1393
SA,Major Cities of Australia,Adelaide - Central and Hills,Prospect,Arterial Road,60,1394
VIC,Outer Regional Australia,North West,Horsham,National or State Highway,60,1395
NSW,Outer Regional Australia,Riverina,Carrathool,Sub-arterial Road,100,1396
SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,National or State Highway,60,1397
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road,100,1398
NSW,Outer Regional Australia,Central West,Bland,Sub-arterial Road,100,1399
VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Local Road,60,1400
TAS,Outer Regional Australia,South East,Southern Midlands,National or State Highway,110,1401
NT,Very Remote Australia,Northern Territory - Outback,MacDonnell,Arterial Road,110,1402
QLD,Outer Regional Australia,Cairns,Tablelands,Local Road,80,1403
QLD,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road,90,1404
NT,Outer Regional Australia,Darwin,Litchfield,Sub-arterial Road,80,1405
VIC,Outer Regional Australia,North West,Gannawarra,Sub-arterial Road,100,1406
VIC,Major Cities of Australia,Melbourne - West,Melton,National or State Highway,100,1407
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Sub-arterial Road,80,1408
NSW,Major Cities of Australia,Sydney - Ryde,Parramatta,Pedestrian Thoroughfare,50,1409
NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),National or State Highway,80,1410
VIC,Inner Regional Australia,Bendigo,Macedon Ranges,Sub-arterial Road,40,1411
VIC,Inner Regional Australia,Hume,Wodonga,Sub-arterial Road,80,1412
TAS,Outer Regional Australia,South East,Southern Midlands,Local Road,80,1413
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road,50,1414
QLD,Inner Regional Australia,Ipswich,Lockyer Valley,Sub-arterial Road,40,1415
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Mount Remarkable,Local Road,100,1416
VIC,Inner Regional Australia,Bendigo,Macedon Ranges,Sub-arterial Road,80,1417
NSW,Remote Australia,Murray,Balranald,Local Road,100,1418
QLD,Outer Regional Australia,Cairns,Douglas,Sub-arterial Road,100,1419
QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Collector Road,60,1420
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Local Road,50,1421
QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Access road,50,1422
SA,Inner Regional Australia,South Australia - South East,Murray Bridge,Arterial Road,60,1423
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Sub-arterial Road,70,1424
VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Access road,100,1425
VIC,Major Cities of Australia,Melbourne - South East,Monash,Local Road,50,1426
QLD,Remote Australia,Queensland - Outback,Mareeba,Collector Road,100,1427
VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,Local Road,50,1428
NSW,Outer Regional Australia,Riverina,Griffith,Arterial Road,100,1429
VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,National or State Highway,60,1430
VIC,Major Cities of Australia,Melbourne - Outer East,Manningham,Collector Road,70,1431
NSW,Major Cities of Australia,Illawarra,Shellharbour,National or State Highway,50,1432
TAS,Inner Regional Australia,Hobart,Brighton,National or State Highway,60,1433
TAS,Inner Regional Australia,Launceston and North East,Northern Midlands,Sub-arterial Road,80,1434
QLD,Inner Regional Australia,Central Queensland,Livingstone,Sub-arterial Road,60,1435
VIC,Remote Australia,North West,Mildura,Local Road,100,1436
QLD,Remote Australia,Queensland - Outback,Cook,Local Road,80,1437
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Local Road,80,1438
NSW,Outer Regional Australia,Central West,Parkes,National or State Highway,110,1439
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road,80,1440
VIC,Major Cities of Australia,Melbourne - West,Wyndham,Local Road,60,1441
SA,Outer Regional Australia,South Australia - South East,Tatiara,Local Road,100,1442
QLD,Remote Australia,Queensland - Outback,Cook,Local Road,50,1443
TAS,Outer Regional Australia,Launceston and North East,Launceston,National or State Highway,100,1444
QLD,Major Cities of Australia,Brisbane - East,Brisbane,Collector Road,60,1445
VIC,Inner Regional Australia,Hume,Strathbogie,National or State Highway,100,1446
NSW,Inner Regional Australia,Capital Region,Eurobodalla,National or State Highway,50,1447
QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway,80,1448
VIC,Outer Regional Australia,Latrobe - Gippsland,Wellington,National or State Highway,100,1449
VIC,Major Cities of Australia,Melbourne - Inner,Port Phillip,Local Road,60,1450
VIC,Major Cities of Australia,Geelong,Greater Geelong,Local Road,80,1451
VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Arterial Road,50,1452
VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),National or State Highway,80,1453
NSW,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,70,1454
VIC,Major Cities of Australia,Melbourne - West,Hobsons Bay,Arterial Road,80,1455
VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Access road,100,1456
NSW,Outer Regional Australia,Central West,Weddin,National or State Highway,100,1457
NSW,Outer Regional Australia,Mid North Coast,Nambucca Valley,Sub-arterial Road,100,1458
NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),National or State Highway,110,1459
VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,National or State Highway,100,1460
VIC,Inner Regional Australia,Ballarat,Ballarat,National or State Highway,110,1461
VIC,Major Cities of Australia,Melbourne - North West,Merri-bek,Local Road,50,1462
NSW,Inner Regional Australia,Murray,Federation,Arterial Road,80,1463
QLD,Very Remote Australia,Queensland - Outback,Northern Peninsula Area,Access road,100,1464
NSW,Inner Regional Australia,Central West,Cowra,Sub-arterial Road,50,1465
VIC,Major Cities of Australia,Melbourne - North East,Mitchell,Local Road,50,1466
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Sub-arterial Road,80,1467
VIC,Inner Regional Australia,Warrnambool and South West,Corangamite,National or State Highway,80,1468
NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Local Road,100,1469
VIC,Major Cities of Australia,Geelong,Greater Geelong,Local Road,60,1470
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,National or State Highway,60,1471
QLD,Inner Regional Australia,Wide Bay,South Burnett,Collector Road,80,1472
NSW,Inner Regional Australia,Sydney - Outer South West,Wingecarribee,Local Road,60,1473
NSW,Outer Regional Australia,Richmond - Tweed,Kyogle,Arterial Road,100,1474
VIC,Major Cities of Australia,Melbourne - West,Brimbank,National or State Highway,100,1475
QLD,Remote Australia,Queensland - Outback,Cook,Local Road,100,1476
QLD,Inner Regional Australia,Wide Bay,Gympie,Local Road,100,1477
VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Sub-arterial Road,70,1478
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road,50,1479
NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,National or State Highway,90,1480
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Local Road,100,1481
VIC,Inner Regional Australia,Hume,Murrindindi,National or State Highway,40,1482
VIC,Outer Regional Australia,Warrnambool and South West,Corangamite,National or State Highway,100,1483
VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,Sub-arterial Road,100,1484
NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,National or State Highway,130,1485
NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Arterial Road,70,1486
NSW,Outer Regional Australia,New England and North West,Tenterfield,Arterial Road,50,1487
QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay,National or State Highway,60,1488
NT,Outer Regional Australia,Darwin,Unincorporated NT,Arterial Road,90,1489
QLD,Inner Regional Australia,Wide Bay,Gympie,National or State Highway,90,1490
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast,Sub-arterial Road,100,1491
