crash_id,sa4_name
20241245,Richmond - Tweed
20243126,Darling Downs - Maranoa
20244082,Barossa - Yorke - Mid North
20241108,Sydney - Parramatta
20242137,Ballarat
20241005,Sydney - Sutherland
20241051,Central West
20243128,Mackay - Isaac - Whitsunday
20242109,Melbourne - North West
20241116,Newcastle and Lake Macquarie
20243226,Ipswich
20242092,Melbourne - Inner South
20242125,Melbourne - South East
20244077,South Australia - South East
20242049,Melbourne - South East
20243265,Ipswich
20243122,Wide Bay
20243151,Sunshine Coast
20241283,Central West
20242262,Melbourne - North East
20242100,North West
20242211,Bendigo
20241168,Sydney - Inner South West
20241162,Coffs Harbour - Grafton
20241073,Illawarra
20243097,Wide Bay
20242182,Latrobe - Gippsland
20243123,Moreton Bay - North
20242044,North West
20241120,Murray
20242266,Mornington Peninsula
20241048,Sydney - South West
20243023,Ipswich
20243137,Darling Downs - Maranoa
20241200,Sydney - North Sydney and Hornsby
20242151,Melbourne - South East
20242223,Ballarat
20241259,Far West and Orana
20241264,Illawarra
20243086,Ipswich
20242215,Latrobe - Gippsland
20246012,Launceston and North East
20244068,Adelaide - South
20241296,Sydney - Inner South West
20241006,Sydney - Inner South West
20241258,Sydney - Inner South West
20241290,Coffs Harbour - Grafton
20241056,Newcastle and Lake Macquarie
20242014,Melbourne - South East
20241251,Newcastle and Lake Macquarie
20243076,Wide Bay
20243162,Wide Bay
20242027,Melbourne - West
20243029,Brisbane Inner City
20242179,Mornington Peninsula
20244080,South Australia - South East
20242241,Hume
20244047,South Australia - South East
20241041,Richmond - Tweed
20241165,Murray
20242077,Melbourne - Outer East
20242078,Melbourne - South East
20242017,Melbourne - North West
20243223,Cairns
20241271,Sydney - Outer West and Blue Mountains
20242217,Melbourne - South East
20242245,Shepparton
20241170,Sydney - Outer South West
20242199,Melbourne - North East
20241177,Central West
20246015,Hobart
20242165,Shepparton
20241011,Sydney - Inner South West
20243260,Brisbane - North
20241083,Sydney - North Sydney and Hornsby
20246006,Launceston and North East
20244058,Adelaide - Central and Hills
20243218,Logan - Beaudesert
20241089,Sydney - Eastern Suburbs
20243146,Wide Bay
20241295,Sydney - Inner West
20243264,Central Queensland
20241136,Central West
20241281,Richmond - Tweed
20241076,Sydney - Ryde
20244073,South Australia - South East
20242094,Hume
20241058,Central West
20241019,Capital Region
20241275,New England and North West
20243222,Gold Coast
20241065,Far West and Orana
20243094,Brisbane - North
20243145,Wide Bay
20241305,Richmond - Tweed
20242146,Bendigo
20241231,New England and North West
20241145,Newcastle and Lake Macquarie
20241228,Far West and Orana
20243030,Cairns
20243034,Wide Bay
20242058,Melbourne - Inner South
20241085,Richmond - Tweed
20243091,Darling Downs - Maranoa
20243184,Central Queensland
20242104,Hume
20248004,Australian Capital Territory
20242101,Ballarat
20243195,Mackay - Isaac - Whitsunday
20243055,Brisbane - North
20241212,Central West
20241241,Sydney - Eastern Suburbs
20243071,Sunshine Coast
20241171,New England and North West
20243193,Darling Downs - Maranoa
20244011,South Australia - Outback
20242225,Hume
20242160,Hume
20241183,New England and North West
20241025,Hunter Valley exc Newcastle
20241079,Coffs Harbour - Grafton
20246010,Launceston and North East
20242235,North West
20242113,Hume
20242025,Warrnambool and South West
20241148,Sydney - Blacktown
20241262,Sydney - North Sydney and Hornsby
20241172,Sydney - North Sydney and Hornsby
20242192,Latrobe - Gippsland
20241014,Murray
20242191,Melbourne - South East
20243189,Townsville
20244033,South Australia - Outback
20241206,Central Coast
20243069,Townsville
20243188,Gold Coast
20241130,Sydney - Baulkham Hills and Hawkesbury
20241178,Sydney - Inner South West
20248011,Australian Capital Territory
20241043,Murray
20244054,South Australia - South East
20243032,Brisbane - East
20244015,Barossa - Yorke - Mid North
20243112,Central Queensland
20243253,Logan - Beaudesert
20246028,Launceston and North East
20242244,Hume
20244006,Adelaide - West
20241154,Richmond - Tweed
20241146,Sydney - Ryde
20242009,Latrobe - Gippsland
20241217,Capital Region
20242030,Latrobe - Gippsland
20243025,Queensland - Outback
20242168,Latrobe - Gippsland
20246021,Launceston and North East
20241238,Coffs Harbour - Grafton
20241158,Southern Highlands and Shoalhaven
20243228,Brisbane Inner City
20242210,Hume
20242253,Ballarat
20242256,Latrobe - Gippsland
20241289,Murray
