crash_id,lga_name
20243116,Cassowary Coast
20242133,Melton
20241092,Central Coast (NSW)
20242121,Whittlesea
20243214,Toowoomba
20241118,Tenterfield
20243157,Brisbane
20241190,Hilltops
20241097,Goulburn Mulwaree
20242265,Indigo
20241250,Northern Beaches
20242200,Moyne
20242234,Campaspe
20242048,Brimbank
20242003,Greater Shepparton
20243252,Moreton Bay
20243061,Toowoomba
20242162,Moonee Valley
20244071,Onkaparinga
20241047,Inner West
20241205,Cessnock
20241024,Central Coast (NSW)
20242096,Casey
20242240,Greater Dandenong
20243139,Brisbane
20243075,Brisbane
20244051,Salisbury
20241070,Warrumbungle
20244079,Whyalla
20243051,Western Downs
20242237,Yarra Ranges
20243148,Rockhampton
20242157,Moonee Valley
20244022,Unincorporated SA
20241142,Port Stephens
20241124,Shoalhaven
20241010,Narromine
20241252,Clarence Valley
20243155,Cook
20243163,Gladstone
20243269,Noosa
20243056,Mount Isa
20243049,Mount Isa
20243103,Brisbane
20242233,Kingston (Vic.)
20243014,Toowoomba
20241198,Canterbury-Bankstown
20242249,Maroondah
20243154,Whitsunday
20241100,Lake Macquarie
20241074,Tweed
20243263,Toowoomba
20242016,Maribyrnong
20244017,Unincorporated SA
20244009,Marion
20242085,Darebin
20244012,Unincorporated SA
20243205,Logan
20241035,Blacktown
20241161,Blacktown
20241062,Dubbo
20243119,Moreton Bay
20241155,Lake Macquarie
20243152,Gold Coast
20243053,Gold Coast
20241039,Northern Beaches
20242154,Mildura
20243215,Brisbane
20243026,Gold Coast
20241050,Hornsby
20243271,Gladstone
20241133,Clarence Valley
20248008,Unincorporated ACT
20244037,Adelaide Hills
20242143,Yarra
20241273,Lake Macquarie
20242067,Monash
20242214,Mansfield
20243238,Charters Towers
20242011,Warrnambool
20241180,Cumberland
20241059,The Hills
20241021,Fairfield
20242254,Kingston (Vic.)
20243256,Cairns
20241245,Richmond Valley
20243126,Toowoomba
20244082,Light
20241108,Parramatta
20242137,Ballarat
20241005,Sutherland
20241051,Mid-Western
20243128,Mackay
20242109,Hume
20241116,Newcastle
20243226,Ipswich
20242092,Glen Eira
20242125,Greater Dandenong
20244077,Alexandrina
20242049,Monash
20243265,Ipswich
20243122,Fraser Coast
20243151,Sunshine Coast
20241283,Cabonne
20242262,Nillumbik
20242100,Yarriambiack
20242211,Greater Bendigo
20241168,Canterbury-Bankstown
20241162,Clarence Valley
20241073,Wollongong
20243097,South Burnett
20242182,Latrobe (Vic.)
20243123,Moreton Bay
20242044,West Wimmera
20241120,Greater Hume
20242266,Frankston
20241048,Fairfield
20243023,Brisbane
20243137,Southern Downs
20241200,Ku-ring-gai
20242151,Casey
20242223,Pyrenees
20241259,Unincorporated NSW
20241264,Wollongong
20243086,Brisbane
20242215,Latrobe (Vic.)
20246012,Break O'Day
20244068,Onkaparinga
20241296,Canterbury-Bankstown
20241006,Strathfield
20241258,Bayside (NSW)
20241290,Coffs Harbour
20241056,Lake Macquarie
20242014,Cardinia
20241251,Lake Macquarie
20243076,Bundaberg
20243162,South Burnett
20242027,Brimbank
20243029,Brisbane
20242179,Frankston
20244080,Mid Murray
20242241,Murrindindi
20244047,Murray Bridge
20241041,Tweed
20241165,Murray River
20242077,Yarra Ranges
20242078,Monash
20242017,Macedon Ranges
20243223,Cairns
20241271,Penrith
20242217,Casey
20242245,Greater Shepparton
20241170,Camden
20242199,Whittlesea
20241177,Mid-Western
20246015,Glenorchy
20242165,Greater Shepparton
20241011,Georges River
20243260,Brisbane
20241083,Hornsby
20246006,Meander Valley
20244058,Adelaide Hills
20243218,Scenic Rim
20241089,Randwick
20243146,Bundaberg
20241295,Strathfield
20243264,Rockhampton
20241136,Forbes
20241281,Richmond Valley
20241076,Hunters Hill
20244073,Berri Barmera
20242094,Wangaratta
20241058,Parkes
20241019,Goulburn Mulwaree
20241275,Gunnedah
20243222,Gold Coast
20241065,Dubbo
20243094,Brisbane
20243145,Gympie
20241305,Byron
20242146,Greater Bendigo
20241231,Tamworth
20241145,Lake Macquarie
20241228,Cabonne
20243030,Tablelands
20243034,Bundaberg
20242058,Kingston (Vic.)
20241085,Lismore
20243091,Southern Downs
20243184,Rockhampton
20242104,Mansfield
20248004,Unincorporated ACT
20242101,Moorabool
20243195,Isaac
20243055,Brisbane
20241212,Bathurst
20241241,Randwick
20243071,Sunshine Coast
20241171,Inverell
20243193,Western Downs
20244011,Unincorporated SA
20242225,Mitchell
20242160,Benalla
20241183,Tamworth
20241025,Upper Hunter
20241079,Bellingen
20246010,Break O'Day
20242235,Mildura
20242113,Mansfield
20242025,Moyne
20241148,Blacktown
20241262,Willoughby
20241172,Willoughby
20242192,Wellington
20241014,Albury
20242191,Greater Dandenong
20243189,Burdekin
20244033,Unincorporated SA
20241206,Central Coast (NSW)
20243069,Townsville
20243188,Gold Coast
20241130,The Hills
20241178,Georges River
20248011,Unincorporated ACT
20241043,Edward River
20244054,Coorong
20243032,Redland
20244015,Barossa
20243112,Gladstone
20243253,Logan
20246028,George Town
20242244,Mitchell
20244006,Port Adelaide Enfield
20241154,Richmond Valley
20241146,Ryde
20242009,Bass Coast
20241217,Yass Valley
20242030,Wellington
20243025,Richmond
20242168,Baw Baw
20246021,Northern Midlands
20241238,Coffs Harbour
20241158,Shoalhaven
20243228,Brisbane
20242210,Strathbogie
20242253,Moorabool
20242256,Latrobe (Vic.)
20241289,Hay
20243045,Fraser Coast
20242028,Baw Baw
20243054,Gold Coast
20241187,Penrith
20246007,Dorset
20241126,Weddin
20244049,Mount Barker
20242021,Moorabool
20242045,Knox
20243101,Rockhampton
20242206,Buloke
20242117,Greater Shepparton
20241226,Snowy Monaro
20242079,Moira
20241156,Warrumbungle
20243093,Lockyer Valley
20243125,Brisbane
20243134,Gold Coast
20242239,Surf Coast
20241232,Lachlan
20241061,Waverley
20244056,Unincorporated SA
20242039,Northern Grampians
20241182,Mid-Coast
20241044,Gunnedah
20242131,Campaspe
20244031,Wattle Range
20242059,Casey
20242033,Glen Eira
20241207,Singleton
20243033,Fraser Coast
20242159,Melton
20243177,Moreton Bay
20243241,Brisbane
20243132,Brisbane
20243159,Logan
20242072,Indigo
20243028,Charters Towers
20243105,Mareeba
20242258,Horsham
20241007,Port Macquarie-Hastings
20241227,Randwick
20243130,Lockyer Valley
20242065,Casey
20243259,Gold Coast
20244052,Adelaide Plains
20242247,Stonnington
20241093,Armidale
20241276,Campbelltown (NSW)
20242208,Campaspe
20241157,Cowra
20244065,Mount Remarkable
20242054,Wyndham
20242221,Surf Coast
20242197,Colac Otway
20241075,Gilgandra
20241279,Fairfield
20243095,Brisbane
20243272,Isaac
20243027,Brisbane
20248001,Unincorporated ACT
20242228,Merri-bek
20242105,Macedon Ranges
20241069,Liverpool
20244074,Adelaide Plains
20244008,Alexandrina
20243100,Ipswich
20241122,Cessnock
20244064,Berri Barmera
20243138,Fraser Coast
20241141,Wollongong
20241244,Wollongong
20242236,Wangaratta
20242195,Wodonga
20242010,Greater Dandenong
20242205,Murrindindi
20244002,Wattle Range
20242041,Indigo
20242084,Greater Dandenong
20243230,Goondiwindi
20241114,Tweed
20243068,Rockhampton
20243099,South Burnett
20242145,Wellington
20243062,Mackay
20244048,Adelaide
20241112,Northern Beaches
20243047,Logan
20242198,Mitchell
20243202,Cassowary Coast
20244029,Clare and Gilbert Valleys
20241185,Ballina
20242153,Hume
20243257,Burdekin
20243149,Brisbane
20242202,East Gippsland
20243245,Moreton Bay
20244004,West Torrens
20241123,Warrumbungle
20242222,Yarriambiack
20242248,Cardinia
20241213,Armidale
20242220,Glen Eira
20242047,Wyndham
20243270,Douglas
20241121,Snowy Valleys
20243016,Rockhampton
20241038,Hilltops
20243200,Ipswich
20243039,Sunshine Coast
20242246,Glen Eira
20242063,Macedon Ranges
20243180,Gold Coast
20241297,Inverell
20243059,Brisbane
20242242,Mitchell
20242091,Whitehorse
20243077,Cloncurry
20244038,Tea Tree Gully
20243136,Brisbane
20243211,Mackay
20241270,Hawkesbury
20241225,Dubbo
20241084,Yass Valley
20243050,Bundaberg
20243216,Logan
20242190,Greater Dandenong
20243115,Scenic Rim
20242116,Melton
20241129,Central Coast (NSW)
20244076,Barossa
20243141,Brisbane
20241095,Narrabri
20242082,South Gippsland
20241090,Ryde
20241113,Hilltops
20243258,Cassowary Coast
20244053,Tea Tree Gully
20241064,Tenterfield
20243175,Western Downs
20243183,Isaac
20241049,Cowra
20241242,Penrith
20241144,Kiama
20243262,Brisbane
20241001,Central Coast (NSW)
20242231,Yarra Ranges
20241018,Canterbury-Bankstown
20241105,Parramatta
20241282,Coffs Harbour
20243204,Redland
20243224,Brisbane
20243179,Moreton Bay
20241192,Liverpool
20241026,Wollongong
20241067,Cowra
20242001,Maroondah
20243013,Goondiwindi
20241191,Hay
20242031,Boroondara
20241117,Hawkesbury
20246020,Sorell
20241012,Mid-Coast
20242263,Towong
20242038,Wellington
20246005,Brighton
20244030,Grant
20242061,Baw Baw
20244036,Light
20242134,Port Phillip
20243060,Gladstone
