time_id,period
9912,Easter Period
9913,Easter Period
9914,Easter Period
9917,Easter Period
9918,Easter Period
9923,Easter Period
9926,Easter Period
9930,Easter Period
9931,Easter Period
9936,Easter Period
9947,Easter Period
9953,Easter Period
10112,Christmas Period
10157,Christmas Period
10158,Christmas Period
10159,Christmas Period
10171,Christmas Period
10197,Christmas Period
10200,Christmas Period
10201,Christmas Period
10203,Christmas Period
10208,Christmas Period
10210,Christmas Period
10214,Christmas Period
10219,Christmas Period
10224,Christmas Period
10225,Christmas Period
10226,Christmas Period
10407,Easter Period
10411,Easter Period
10412,Easter Period
10417,Easter Period
10420,Easter Period
10421,Easter Period
10490,Christmas Period
